game,price,link,release_date,game_type
A Short Hike,฿159.00,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_240_150_1,"30 Jul, 2019",Adventure
Senren＊Banka,฿251.40,https://store.steampowered.com/app/1144400/SenrenBanka/?snr=1_7_7_240_150_1,"14 Feb, 2020",Adventure
Project Kat - Paper Lily Prologue,Free,https://store.steampowered.com/app/1698960/Project_Kat__Paper_Lily_Prologue/?snr=1_7_7_240_150_1,"15 Oct, 2021",Adventure
Ib,฿219.00,https://store.steampowered.com/app/1901370/Ib/?snr=1_7_7_240_150_1,"11 Apr, 2022",Adventure
Don't Escape: 4 Days to Survive,฿315.00,https://store.steampowered.com/app/611760/Dont_Escape_4_Days_to_Survive/?snr=1_7_7_240_150_1,"11 Mar, 2019",Adventure
Flowers -Le volume sur ete-,฿289.00,https://store.steampowered.com/app/858940/Flowers_Le_volume_sur_ete/?snr=1_7_7_240_150_1,"26 Jul, 2018",Adventure
A Building Full of Cats,฿45.00,https://store.steampowered.com/app/1969080/A_Building_Full_of_Cats/?snr=1_7_7_240_150_1,"7 Jul, 2022",Adventure
ARMORED HEAD,฿99.00,https://store.steampowered.com/app/805590/ARMORED_HEAD/?snr=1_7_7_240_150_1,"31 Jul, 2020",Adventure
Portal 2,฿189.00,https://store.steampowered.com/app/620/Portal_2/?snr=1_7_7_240_150_1,"18 Apr, 2011",Adventure
Portal,฿189.00,https://store.steampowered.com/app/400/Portal/?snr=1_7_7_240_150_1,"10 Oct, 2007",Adventure
Totally Accurate Battle Simulator,฿289.00,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"1 Apr, 2021",Adventure
Half-Life: Alyx,฿699.00,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_240_150_1,"23 Mar, 2020",Adventure
A Hat in Time,฿559.00,https://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_7_7_240_150_1,"5 Oct, 2017",Adventure
The Henry Stickmin Collection,฿239.00,https://store.steampowered.com/app/1089980/The_Henry_Stickmin_Collection/?snr=1_7_7_240_150_1,"7 Aug, 2020",Adventure
OneShot,฿219.00,https://store.steampowered.com/app/420530/OneShot/?snr=1_7_7_240_150_1,Dec 2016,Adventure
Rhythm Doctor,฿249.00,https://store.steampowered.com/app/774181/Rhythm_Doctor/?snr=1_7_7_240_150_1,"26 Feb, 2021",Adventure
Finding Paradise,฿219.00,https://store.steampowered.com/app/337340/Finding_Paradise/?snr=1_7_7_240_150_1,"14 Dec, 2017",Adventure
Grimm's Hollow,Free,https://store.steampowered.com/app/1170880/Grimms_Hollow/?snr=1_7_7_240_150_1,"30 Oct, 2019",Adventure
The Room 4: Old Sins,฿175.00,https://store.steampowered.com/app/1361320/The_Room_4_Old_Sins/?snr=1_7_7_240_150_1,"11 Feb, 2021",Adventure
ATRI -My Dear Moments-,฿303.00,https://store.steampowered.com/app/1230140/ATRI_My_Dear_Moments/?snr=1_7_7_240_150_1,"18 Jun, 2020",Adventure
Tiny Bunny,฿219.00,https://store.steampowered.com/app/1421250/Tiny_Bunny/?snr=1_7_7_240_150_1,"16 Apr, 2021",Adventure
Tales of the Black Forest,฿25.50,https://store.steampowered.com/app/1093910/Tales_of_the_Black_Forest/?snr=1_7_7_240_150_1,"25 Sep, 2019",Adventure
Neon White,฿339.00,https://store.steampowered.com/app/1533420/Neon_White/?snr=1_7_7_240_150_1,"16 Jun, 2022",Adventure
SuchArt: Creative Space,Free To Play,https://store.steampowered.com/app/1469280/SuchArt_Creative_Space/?snr=1_7_7_240_150_1,"21 Jan, 2021",Adventure
CLANNAD,฿765.00,https://store.steampowered.com/app/324160/CLANNAD/?snr=1_7_7_240_150_1,"23 Nov, 2015",Adventure
The Test: Hypothesis Rising,฿45.00,https://store.steampowered.com/app/1282200/The_Test_Hypothesis_Rising/?snr=1_7_7_240_150_1,"27 Apr, 2020",Adventure
Epic Battle Fantasy 5,฿289.00,https://store.steampowered.com/app/432350/Epic_Battle_Fantasy_5/?snr=1_7_7_240_150_1,"30 Nov, 2018",Adventure
Marco & The Galaxy Dragon,฿338.00,https://store.steampowered.com/app/1202540/Marco__The_Galaxy_Dragon/?snr=1_7_7_240_150_1,"28 Feb, 2020",Adventure
100 hidden frogs,Free To Play,https://store.steampowered.com/app/1806840/100_hidden_frogs/?snr=1_7_7_240_150_1,"15 Nov, 2021",Adventure
Cube Escape Collection,฿99.00,https://store.steampowered.com/app/1292940/Cube_Escape_Collection/?snr=1_7_7_240_150_1,"14 Oct, 2020",Adventure
The Supper,Free,https://store.steampowered.com/app/1171370/The_Supper/?snr=1_7_7_240_150_1,"28 Jan, 2020",Adventure
Aokana - Four Rhythms Across the Blue,฿419.00,https://store.steampowered.com/app/1044620/Aokana__Four_Rhythms_Across_the_Blue/?snr=1_7_7_240_150_1,"27 Sep, 2019",Adventure
Riddle Joker,฿419.00,https://store.steampowered.com/app/1277930/Riddle_Joker/?snr=1_7_7_240_150_1,"18 Dec, 2020",Adventure
