game,price,link,release_date,game_type,image
Marvel’s Spider-Man Remastered,"฿1,352.00",https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_240_150_1,"12 Aug, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1817070/capsule_sm_120.jpg?t=1660316394
Days Gone,฿516.00,https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_7_7_240_150_1,"17 May, 2021",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1259420/capsule_sm_120.jpg?t=1635476187
Gotham Knights,"฿1,590.00",https://store.steampowered.com/app/1496790/Gotham_Knights/?snr=1_7_7_240_150_1,"21 Oct, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1496790/capsule_sm_120.jpg?t=1666371936
Green Hell,฿223.30,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_240_150_1,"5 Sep, 2019",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/815370/capsule_sm_120.jpg?t=1659627205
UNCHARTED™: Legacy of Thieves Collection,"฿1,290.00",https://store.steampowered.com/app/1659420/UNCHARTED_Legacy_of_Thieves_Collection/?snr=1_7_7_240_150_1,"19 Oct, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1659420/capsule_sm_120.jpg?t=1666804146
Dying Light 2 Stay Human,"฿1,899.00",https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_240_150_1,"3 Feb, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/534380/capsule_sm_120_alt_assets_4.jpg?t=1666707131
Ghost Watchers,฿191.20,https://store.steampowered.com/app/1850740/Ghost_Watchers/?snr=1_7_7_240_150_1,"28 Jul, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1850740/capsule_sm_120.jpg?t=1666735635
STAR WARS Jedi: Fallen Order™,฿219.80,https://store.steampowered.com/app/1172380/STAR_WARS_Jedi_Fallen_Order/?snr=1_7_7_240_150_1,"14 Nov, 2019",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1172380/capsule_sm_120.jpg?t=1651767465
V Rising,฿231.20,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_240_150_1,"17 May, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/capsule_sm_120.jpg?t=1666870061
Slime Rancher 2,฿379.00,https://store.steampowered.com/app/1657630/Slime_Rancher_2/?snr=1_7_7_240_150_1,"22 Sep, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1657630/capsule_sm_120.jpg?t=1663866007
Ghostwire: Tokyo,฿674.99,https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_240_150_1,"24 Mar, 2022",Action,https://cdn.cloudflare.steamstatic.com/steam/apps/1475810/capsule_sm_120_alt_assets_1.jpg?t=1666909528
