game,price,link,release_date,game_type
It Steals,฿99.00,https://store.steampowered.com/app/1349060/It_Steals/?snr=1_7_7_240_150_1,"22 Jul, 2020",Arcade
Vampire Survivors,฿95.20,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_240_150_1,"20 Oct, 2022",Arcade
One Finger Death Punch,฿99.00,https://store.steampowered.com/app/264200/One_Finger_Death_Punch/?snr=1_7_7_240_150_1,"3 Mar, 2014",Arcade
Post Void,฿63.00,https://store.steampowered.com/app/1285670/Post_Void/?snr=1_7_7_240_150_1,"6 Aug, 2020",Arcade
pureya,฿119.00,https://store.steampowered.com/app/1268960/pureya/?snr=1_7_7_240_150_1,"26 Mar, 2021",Arcade
Bang-On Balls: Chronicles,฿329.00,https://store.steampowered.com/app/1227650/BangOn_Balls_Chronicles/?snr=1_7_7_240_150_1,"3 Mar, 2021",Arcade
Broforce,฿315.00,https://store.steampowered.com/app/274190/Broforce/?snr=1_7_7_240_150_1,"15 Oct, 2015",Arcade
Iron Snout,Free,https://store.steampowered.com/app/424280/Iron_Snout/?snr=1_7_7_240_150_1,"27 Jan, 2016",Arcade
Super Hexagon,฿79.00,https://store.steampowered.com/app/221640/Super_Hexagon/?snr=1_7_7_240_150_1,"27 Nov, 2012",Arcade
Psychonauts 2,฿699.00,https://store.steampowered.com/app/607080/Psychonauts_2/?snr=1_7_7_240_150_1,"24 Aug, 2021",Arcade
Sayonara Wild Hearts,฿219.00,https://store.steampowered.com/app/1122720/Sayonara_Wild_Hearts/?snr=1_7_7_240_150_1,"12 Dec, 2019",Arcade
Peggle Deluxe,฿170.00,https://store.steampowered.com/app/3480/Peggle_Deluxe/?snr=1_7_7_240_150_1,"6 Mar, 2007",Arcade
Lethal League Blaze,฿289.00,https://store.steampowered.com/app/553310/Lethal_League_Blaze/?snr=1_7_7_240_150_1,"24 Oct, 2018",Arcade
Orbt XL,฿23.00,https://store.steampowered.com/app/615610/Orbt_XL/?snr=1_7_7_240_150_1,"21 Apr, 2017",Arcade
SUPER CHICKEN JUMPER,฿99.00,https://store.steampowered.com/app/584640/SUPER_CHICKEN_JUMPER/?snr=1_7_7_240_150_1,"24 Sep, 2021",Arcade
Neighbours from Hell Compilation,,https://store.steampowered.com/app/260750/Neighbours_from_Hell_Compilation/?snr=1_7_7_240_150_1,"7 Nov, 2013",Arcade
Boneraiser Minions,฿99.00,https://store.steampowered.com/app/1944570/Boneraiser_Minions/?snr=1_7_7_240_150_1,"5 Aug, 2022",Arcade
Feeding Frenzy 2 Deluxe,฿170.00,https://store.steampowered.com/app/3390/Feeding_Frenzy_2_Deluxe/?snr=1_7_7_240_150_1,"30 Aug, 2006",Arcade
東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,฿175.00,https://store.steampowered.com/app/882710/_TouHou_Makuka_Sai__Fantastic_Danmaku_Festival/?snr=1_7_7_240_150_1,"16 Aug, 2018",Arcade
