game,price,link,release_date,game_type,image
MARVEL SNAP,Free,https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_240_150_1,"18 Oct, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1997040/header.jpg?t=1667629115
Inscryption,฿233.40,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_240_150_1,"19 Oct, 2021",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1092790/header.jpg?t=1660265312
Yu-Gi-Oh! Duel Links,Free to Play,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"16 Nov, 2017",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/601510/header.jpg?t=1664354490
Tabletop Simulator,฿369.00,https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_240_150_1,"5 Jun, 2015",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/286160/header.jpg?t=1620412025
Potionomics,฿319.00,https://store.steampowered.com/app/1874490/Potionomics/?snr=1_7_7_240_150_1,"17 Oct, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1874490/header.jpg?t=1666225081
UNO,฿270.00,https://store.steampowered.com/app/470220/UNO/?snr=1_7_7_240_150_1,"3 Jan, 2017",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/470220/header.jpg?t=1667245150
100% Orange Juice,฿34.75,https://store.steampowered.com/app/282800/100_Orange_Juice/?snr=1_7_7_240_150_1,"16 May, 2014",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/282800/header.jpg?t=1664250358
Shadowverse CCG,Free To Play,https://store.steampowered.com/app/453480/Shadowverse_CCG/?snr=1_7_7_240_150_1,"27 Oct, 2016",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/453480/header.jpg?t=1664247000
Governor of Poker 3,Free to Play,https://store.steampowered.com/app/436150/Governor_of_Poker_3/?snr=1_7_7_240_150_1,"19 Feb, 2016",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/436150/header.jpg?t=1664541883
Stacklands,฿99.00,https://store.steampowered.com/app/1948280/Stacklands/?snr=1_7_7_240_150_1,"8 Apr, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1948280/header.jpg?t=1657626123
GWENT: The Witcher Card Game,Free To Play,https://store.steampowered.com/app/1284410/GWENT_The_Witcher_Card_Game/?snr=1_7_7_240_150_1,"19 May, 2020",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1284410/header.jpg?t=1659615342
The Game of Life 2,฿189.00,https://store.steampowered.com/app/1455630/The_Game_of_Life_2/?snr=1_7_7_240_150_1,"11 Dec, 2020",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1455630/header.jpg?t=1666634127
Across the Obelisk,฿499.00,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_1,"16 Aug, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1385380/header.jpg?t=1666627513
Library Of Ruina,฿379.00,https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_240_150_1,"10 Aug, 2021",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1256670/header.jpg?t=1631308649
Alina of the Arena,฿239.00,https://store.steampowered.com/app/1668690/Alina_of_the_Arena/?snr=1_7_7_240_150_1,"13 Oct, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1668690/header.jpg?t=1665680596
Slay the Spire,฿319.00,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"23 Jan, 2019",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/646570/header.jpg?t=1666988685
Splendor,฿219.00,https://store.steampowered.com/app/376680/Splendor/?snr=1_7_7_240_150_1,"17 Sep, 2015",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/376680/header.jpg?t=1660768479
Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,"฿1,062.00",https://store.steampowered.com/app/1150640/YuGiOh_Legacy_of_the_Duelist__Link_Evolution/?snr=1_7_7_240_150_1,"24 Mar, 2020",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1150640/header.jpg?t=1637544091
Loop Hero,฿315.00,https://store.steampowered.com/app/1282730/Loop_Hero/?snr=1_7_7_240_150_1,"4 Mar, 2021",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1282730/header.jpg?t=1667396156
Talisman: Digital Edition,฿34.75,https://store.steampowered.com/app/247000/Talisman_Digital_Edition/?snr=1_7_7_240_150_1,"25 Feb, 2014",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/247000/header.jpg?t=1654078971
Vault of the Void,฿269.00,https://store.steampowered.com/app/1135810/Vault_of_the_Void/?snr=1_7_7_240_150_1,"4 Oct, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1135810/header.jpg?t=1665182768
I Was a Teenage Exocolonist,฿319.00,https://store.steampowered.com/app/1148760/I_Was_a_Teenage_Exocolonist/?snr=1_7_7_240_150_1,"25 Aug, 2022",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1148760/header.jpg?t=1664408411
Wingspan,฿144.50,https://store.steampowered.com/app/1054490/Wingspan/?snr=1_7_7_240_150_1,"17 Sep, 2020",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1054490/header.jpg?t=1666873907
Tainted Grail: Conquest,฿187.85,https://store.steampowered.com/app/1199030/Tainted_Grail_Conquest/?snr=1_7_7_240_150_1,"27 May, 2021",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1199030/header.jpg?t=1667293830
ROUNDS,฿59.50,https://store.steampowered.com/app/1557740/ROUNDS/?snr=1_7_7_240_150_1,"1 Apr, 2021",Card,https://cdn.cloudflare.steamstatic.com/steam/apps/1557740/header.jpg?t=1645874383
