game,price,link,release_date,game_type,image
One Finger Death Punch,฿19.80,https://store.steampowered.com/app/264200/One_Finger_Death_Punch/?snr=1_7_7_240_150_1,"3 Mar, 2014",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/264200/capsule_sm_120.jpg?t=1560879752
Clone Drone in the Danger Zone,฿173.40,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/?snr=1_7_7_240_150_1,"27 Jul, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/597170/capsule_sm_120.jpg?t=1655926512
Iron Snout,Free,https://store.steampowered.com/app/424280/Iron_Snout/?snr=1_7_7_240_150_1,"27 Jan, 2016",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/424280/capsule_sm_120.jpg?t=1664270284
Zup! F,฿47.00,https://store.steampowered.com/app/601220/Zup_F/?snr=1_7_7_240_150_1,"11 Dec, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/601220/capsule_sm_120.jpg?t=1667043584
Lethal League Blaze,฿289.00,https://store.steampowered.com/app/553310/Lethal_League_Blaze/?snr=1_7_7_240_150_1,"24 Oct, 2018",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/553310/capsule_sm_120.jpg?t=1667229780
Boomerang Fu,฿239.00,https://store.steampowered.com/app/965680/Boomerang_Fu/?snr=1_7_7_240_150_1,"13 Aug, 2020",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/965680/capsule_sm_120.jpg?t=1661384200
Blade and Sorcery,฿289.00,https://store.steampowered.com/app/629730/Blade_and_Sorcery/?snr=1_7_7_240_150_1,"11 Dec, 2018",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/629730/capsule_sm_120.jpg?t=1659369226
Batman: Arkham Asylum Game of the Year Edition,฿369.00,https://store.steampowered.com/app/35140/Batman_Arkham_Asylum_Game_of_the_Year_Edition/?snr=1_7_7_240_150_1,"26 Mar, 2010",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/35140/capsule_sm_120.jpg?t=1634156906
STAR WARS™ Jedi Knight - Jedi Academy™,฿189.00,https://store.steampowered.com/app/6020/STAR_WARS_Jedi_Knight__Jedi_Academy/?snr=1_7_7_240_150_1,"16 Sep, 2009",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/6020/capsule_sm_120.jpg?t=1586462966
GUILTY GEAR XX ACCENT CORE PLUS R,฿315.00,https://store.steampowered.com/app/348550/GUILTY_GEAR_XX_ACCENT_CORE_PLUS_R/?snr=1_7_7_240_150_1,"26 May, 2015",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/348550/capsule_sm_120.jpg?t=1636606627
Animal Revolt Battle Simulator,฿270.00,https://store.steampowered.com/app/1215390/Animal_Revolt_Battle_Simulator/?snr=1_7_7_240_150_1,"15 Apr, 2022",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1215390/capsule_sm_120.jpg?t=1660870326
One Finger Death Punch 2,฿39.75,https://store.steampowered.com/app/980300/One_Finger_Death_Punch_2/?snr=1_7_7_240_150_1,"15 Apr, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/980300/capsule_sm_120.jpg?t=1560879491
Ultra Fight Da ! Kyanta 2,Free To Play,https://store.steampowered.com/app/1026840/Ultra_Fight_Da__Kyanta_2/?snr=1_7_7_240_150_1,"8 May, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1026840/capsule_sm_120.jpg?t=1599203713
Batman: Arkham City - Game of the Year Edition,฿369.00,https://store.steampowered.com/app/200260/Batman_Arkham_City__Game_of_the_Year_Edition/?snr=1_7_7_240_150_1,"7 Sep, 2012",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/200260/capsule_sm_120.jpg?t=1634156789
Rivals of Aether,฿379.00,https://store.steampowered.com/app/383980/Rivals_of_Aether/?snr=1_7_7_240_150_1,"28 Mar, 2017",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/383980/capsule_sm_120.jpg?t=1645643593
Paint the Town Red,฿289.00,https://store.steampowered.com/app/337320/Paint_the_Town_Red/?snr=1_7_7_240_150_1,"29 Jul, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/337320/capsule_sm_120.jpg?t=1642548416
Skullgirls 2nd Encore,฿319.00,https://store.steampowered.com/app/245170/Skullgirls_2nd_Encore/?snr=1_7_7_240_150_1,"22 Aug, 2013",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/245170/capsule_sm_120.jpg?t=1655426924
ROUNDS,฿59.50,https://store.steampowered.com/app/1557740/ROUNDS/?snr=1_7_7_240_150_1,"1 Apr, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1557740/capsule_sm_120.jpg?t=1645874383
The Thrill of the Fight - VR Boxing,฿189.00,https://store.steampowered.com/app/494150/The_Thrill_of_the_Fight__VR_Boxing/?snr=1_7_7_240_150_1,"24 Oct, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/494150/capsule_sm_120.jpg?t=1666988246
Lethal League,฿299.00,https://store.steampowered.com/app/261180/Lethal_League/?snr=1_7_7_240_150_1,"27 Aug, 2014",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/261180/capsule_sm_120.jpg?t=1667229581
TowerFall Ascension,฿315.00,https://store.steampowered.com/app/251470/TowerFall_Ascension/?snr=1_7_7_240_150_1,"11 Mar, 2014",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/251470/capsule_sm_120.jpg?t=1617131982
Slap City,฿289.00,https://store.steampowered.com/app/725480/Slap_City/?snr=1_7_7_240_150_1,"17 Sep, 2020",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/725480/capsule_sm_120.jpg?t=1664974287
Maiden and Spell,฿219.00,https://store.steampowered.com/app/1004770/Maiden_and_Spell/?snr=1_7_7_240_150_1,"24 Feb, 2020",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1004770/capsule_sm_120.jpg?t=1622731577
Pulling No Punches,฿189.00,https://store.steampowered.com/app/1425760/Pulling_No_Punches/?snr=1_7_7_240_150_1,"10 Aug, 2022",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1425760/capsule_sm_120.jpg?t=1662499752
Schwarzerblitz,Free,https://store.steampowered.com/app/1287800/Schwarzerblitz/?snr=1_7_7_240_150_1,"31 May, 2020",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1287800/capsule_sm_120.jpg?t=1613920287
Buissons,฿175.00,https://store.steampowered.com/app/1151930/Buissons/?snr=1_7_7_240_150_1,"2 Feb, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1151930/capsule_sm_120.jpg?t=1644837752
FOOTSIES Rollback Edition,฿85.00,https://store.steampowered.com/app/1344740/FOOTSIES_Rollback_Edition/?snr=1_7_7_240_150_1,"30 Sep, 2020",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1344740/capsule_sm_120.jpg?t=1667143624
Lords Of The Lockerroom,Free,https://store.steampowered.com/app/1068070/Lords_Of_The_Lockerroom/?snr=1_7_7_240_150_1,"17 May, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1068070/capsule_sm_120.jpg?t=1568777503
Streets of Fury EX,฿189.00,https://store.steampowered.com/app/350910/Streets_of_Fury_EX/?snr=1_7_7_240_150_1,"25 Jun, 2015",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/350910/capsule_sm_120.jpg?t=1611591906
SpiderHeck,฿239.00,https://store.steampowered.com/app/1329500/SpiderHeck/?snr=1_7_7_240_150_1,"22 Sep, 2022",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1329500/capsule_sm_120.jpg?t=1664304983
The Black Heart,฿132.30,https://store.steampowered.com/app/1431780/The_Black_Heart/?snr=1_7_7_240_150_1,"21 Oct, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1431780/capsule_sm_120.jpg?t=1667151873
Dragon Fist: VR Kung Fu,฿379.00,https://store.steampowered.com/app/1481780/Dragon_Fist_VR_Kung_Fu/?snr=1_7_7_240_150_1,"15 Dec, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1481780/capsule_sm_120_alt_assets_0.jpg?t=1667000783
ILLUSION,฿45.00,https://store.steampowered.com/app/843170/ILLUSION/?snr=1_7_7_240_150_1,"9 May, 2018",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/843170/capsule_sm_120.jpg?t=1602184488
Samurai Gunn 2,฿239.00,https://store.steampowered.com/app/1397790/Samurai_Gunn_2/?snr=1_7_7_240_150_1,"20 Jul, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1397790/capsule_sm_120.jpg?t=1666710195
Astro Duel,฿220.00,https://store.steampowered.com/app/429690/Astro_Duel/?snr=1_7_7_240_150_1,"22 Feb, 2016",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/429690/capsule_sm_120.jpg?t=1661789420
NAIR,฿52.29,https://store.steampowered.com/app/1715850/NAIR/?snr=1_7_7_240_150_1,"14 Sep, 2021",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1715850/capsule_sm_120.jpg?t=1660786565
AGRYOS: Recovering Eden,Free,https://store.steampowered.com/app/1702980/AGRYOS_Recovering_Eden/?snr=1_7_7_240_150_1,"11 Feb, 2022",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/1702980/capsule_sm_120.jpg?t=1651792288
GORN,฿400.00,https://store.steampowered.com/app/578620/GORN/?snr=1_7_7_240_150_1,"18 Jul, 2019",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/578620/capsule_sm_120.jpg?t=1648571868
Sid Meier's Pirates!,฿219.00,https://store.steampowered.com/app/3920/Sid_Meiers_Pirates/?snr=1_7_7_240_150_1,"11 Jul, 2005",Fighting,https://cdn.cloudflare.steamstatic.com/steam/apps/3920/capsule_sm_120.jpg?t=1568748025
