game,price,link,release_date,game_type,image
Hades,319.00,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_240_150_1,"17 Sep, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1145360/header.jpg?t=1661549369
Katana ZERO,239.00,https://store.steampowered.com/app/460950/Katana_ZERO/?snr=1_7_7_240_150_1,"18 Apr, 2019",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/460950/header.jpg?t=1666986801
Jerma's Big Adventure,0,https://store.steampowered.com/app/1722570/Jermas_Big_Adventure/?snr=1_7_7_240_150_1,"27 Aug, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1722570/header.jpg?t=1639960966
Mount & Blade: Warband,149.75,https://store.steampowered.com/app/48700/Mount__Blade_Warband/?snr=1_7_7_240_150_1,"31 Mar, 2010",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/48700/header.jpg?t=1589227310
MADNESS: Project Nexus,319.00,https://store.steampowered.com/app/488860/MADNESS_Project_Nexus/?snr=1_7_7_240_150_1,"29 Sep, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/488860/header.jpg?t=1656029509
Tribal Hunter,315.00,https://store.steampowered.com/app/1379870/Tribal_Hunter/?snr=1_7_7_240_150_1,"21 Aug, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1379870/header.jpg?t=1662142464
Dead Cells,389.00,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_240_150_1,"6 Aug, 2018",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/588650/header.jpg?t=1665137249
Castle Crashers®,239.00,https://store.steampowered.com/app/204360/Castle_Crashers/?snr=1_7_7_240_150_1,"26 Sep, 2012",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/204360/header.jpg?t=1666985972
God of War,1290.00,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_240_150_1,"14 Jan, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1593500/header.jpg?t=1650554420
Crypt of the NecroDancer,315.00,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/?snr=1_7_7_240_150_1,"23 Apr, 2015",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/247080/header.jpg?t=1659637239
STAR WARS™ Jedi Knight - Jedi Academy™,189.00,https://store.steampowered.com/app/6020/STAR_WARS_Jedi_Knight__Jedi_Academy/?snr=1_7_7_240_150_1,"16 Sep, 2009",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/6020/header.jpg?t=1586462966
Recettear: An Item Shop's Tale,369.00,https://store.steampowered.com/app/70400/Recettear_An_Item_Shops_Tale/?snr=1_7_7_240_150_1,"10 Sep, 2010",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/70400/header.jpg?t=1447353479
Cat Quest II,289.00,https://store.steampowered.com/app/914710/Cat_Quest_II/?snr=1_7_7_240_150_1,"24 Sep, 2019",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/914710/header.jpg?t=1659093167
Akane,99.00,https://store.steampowered.com/app/884260/Akane/?snr=1_7_7_240_150_1,"10 Sep, 2018",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/884260/header.jpg?t=1579114397
The Legend of Tianding,173.40,https://store.steampowered.com/app/1406850/The_Legend_of_Tianding/?snr=1_7_7_240_150_1,"1 Nov, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1406850/header.jpg?t=1667350625
Kemono Friends Cellien May Cry,0,https://store.steampowered.com/app/1962920/Kemono_Friends_Cellien_May_Cry/?snr=1_7_7_240_150_1,"1 May, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1962920/header.jpg?t=1654965665
Dying Light,170.70,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_240_150_1,"21 Apr, 2016",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/239140/header.jpg?t=1666707597
Devil May Cry 5,919.00,https://store.steampowered.com/app/601150/Devil_May_Cry_5/?snr=1_7_7_240_150_1,"7 Mar, 2019",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/601150/header.jpg?t=1643243335
Bastion,239.00,https://store.steampowered.com/app/107100/Bastion/?snr=1_7_7_240_150_1,"16 Aug, 2011",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/107100/header.jpg?t=1665003514
Dust: An Elysian Tail,315.00,https://store.steampowered.com/app/236090/Dust_An_Elysian_Tail/?snr=1_7_7_240_150_1,"24 May, 2013",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/236090/header.jpg?t=1577734273
Chronicon,229.00,https://store.steampowered.com/app/375480/Chronicon/?snr=1_7_7_240_150_1,"21 Aug, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/375480/header.jpg?t=1655978655
Cat Quest,289.00,https://store.steampowered.com/app/593280/Cat_Quest/?snr=1_7_7_240_150_1,"8 Aug, 2017",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/593280/header.jpg?t=1667401583
The Riftbreaker: Prologue,0,https://store.steampowered.com/app/1293860/The_Riftbreaker_Prologue/?snr=1_7_7_240_150_1,"5 Aug, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1293860/header.jpg?t=1634209163
Hyperdimension Neptunia Re;Birth3 V Generation,239.00,https://store.steampowered.com/app/353270/Hyperdimension_Neptunia_ReBirth3_V_Generation/?snr=1_7_7_240_150_1,"30 Oct, 2015",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/353270/header.jpg?t=1614906983
FATE,159.00,https://store.steampowered.com/app/246840/FATE/?snr=1_7_7_240_150_1,"12 Dec, 2013",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/246840/header.jpg?t=1598770514
Judgment,1059.00,https://store.steampowered.com/app/2058180/Judgment/?snr=1_7_7_240_150_1,"14 Sep, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/2058180/header.jpg?t=1665143245
Blood Spear,0,https://store.steampowered.com/app/1638660/Blood_Spear/?snr=1_7_7_240_150_1,"13 Aug, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1638660/header.jpg?t=1630014855
HAYAI,45.00,https://store.steampowered.com/app/1983000/HAYAI/?snr=1_7_7_240_150_1,"19 May, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1983000/header.jpg?t=1653210414
PROJECTIONS,219.00,https://store.steampowered.com/app/1348800/PROJECTIONS/?snr=1_7_7_240_150_1,"13 Jul, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1348800/header.jpg?t=1626195628
Psycho Bathroom,0,https://store.steampowered.com/app/1601340/Psycho_Bathroom/?snr=1_7_7_240_150_1,"29 Apr, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1601340/header.jpg?t=1665924019
Ponchoman,23.00,https://store.steampowered.com/app/1919750/Ponchoman/?snr=1_7_7_240_150_1,"15 Mar, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1919750/header.jpg?t=1654009244
Fabular: Prologue,0,https://store.steampowered.com/app/2060550/Fabular_Prologue/?snr=1_7_7_240_150_1,"8 Jul, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/2060550/header.jpg?t=1667578072
The World is Your Weapon,189.00,https://store.steampowered.com/app/1056490/The_World_is_Your_Weapon/?snr=1_7_7_240_150_1,"27 Jun, 2019",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1056490/header.jpg?t=1572341674
Jaded,0,https://store.steampowered.com/app/1932570/Jaded/?snr=1_7_7_240_150_1,"29 Apr, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1932570/header.jpg?t=1658171601
Priest Simulator,289.00,https://store.steampowered.com/app/950620/Priest_Simulator/?snr=1_7_7_240_150_1,"6 Oct, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/950620/header.jpg?t=1665951778
Pulling No Punches,189.00,https://store.steampowered.com/app/1425760/Pulling_No_Punches/?snr=1_7_7_240_150_1,"10 Aug, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1425760/header.jpg?t=1667271333
Breakpoint,99.00,https://store.steampowered.com/app/1273250/Breakpoint/?snr=1_7_7_240_150_1,"24 Sep, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1273250/header.jpg?t=1617141268
天天地下城,99.00,https://store.steampowered.com/app/1849310/_/?snr=1_7_7_240_150_1,"12 Jan, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1849310/header.jpg?t=1644904262
Spark the Electric Jester 3,319.00,https://store.steampowered.com/app/1629530/Spark_the_Electric_Jester_3/?snr=1_7_7_240_150_1,"14 Aug, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1629530/header.jpg?t=1660491947
Sword Rogue,0,https://store.steampowered.com/app/1373920/Sword_Rogue/?snr=1_7_7_240_150_1,"5 Aug, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1373920/header.jpg?t=1597786237
Slay the Dragon!,0,https://store.steampowered.com/app/1463890/Slay_the_Dragon/?snr=1_7_7_240_150_1,"5 Feb, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1463890/header.jpg?t=1626538604
Lakeview Cabin 2,189.00,https://store.steampowered.com/app/1291790/Lakeview_Cabin_2/?snr=1_7_7_240_150_1,"30 Oct, 2020",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1291790/header.jpg?t=1660814716
Temp Zero,99.00,https://store.steampowered.com/app/1938850/Temp_Zero/?snr=1_7_7_240_150_1,"28 Apr, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1938850/header.jpg?t=1660905474
White Lavender,99.00,https://store.steampowered.com/app/1975670/White_Lavender/?snr=1_7_7_240_150_1,"20 Jun, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1975670/header.jpg?t=1655742168
Barbaria,239.00,https://store.steampowered.com/app/1984610/Barbaria/?snr=1_7_7_240_150_1,"2 Jun, 2022",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/1984610/header.jpg?t=1658159953
The Curse Of Yendor,99.00,https://store.steampowered.com/app/576420/The_Curse_Of_Yendor/?snr=1_7_7_240_150_1,"17 Feb, 2017",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/576420/header.jpg?t=1595951559
Juro Janosik,109.45,https://store.steampowered.com/app/978630/Juro_Janosik/?snr=1_7_7_240_150_1,"25 Oct, 2021",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/978630/header.jpg?t=1666872661
RED,0,https://store.steampowered.com/app/573770/RED/?snr=1_7_7_240_150_1,"14 Jan, 2017",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/573770/header.jpg?t=1485219196
Lucah: Born of a Dream,239.00,https://store.steampowered.com/app/896460/Lucah_Born_of_a_Dream/?snr=1_7_7_240_150_1,"21 Aug, 2018",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/896460/header.jpg?t=1651522373
Skelly Selest,99.00,https://store.steampowered.com/app/685400/Skelly_Selest/?snr=1_7_7_240_150_1,"1 May, 2018",Hack and Slash,https://cdn.cloudflare.steamstatic.com/steam/apps/685400/header.jpg?t=1642269427
