game,price,link,release_date,game_type,image
Resident Evil Village,฿966.75,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_1,"7 May, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1196590/capsule_sm_120.jpg?t=1666936638
Dead by Daylight,฿147.60,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"14 Jun, 2016",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/capsule_sm_120.jpg?t=1666892376
The Forest,฿72.25,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_240_150_1,"30 Apr, 2018",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/capsule_sm_120.jpg?t=1666811027
Phasmophobia,฿183.20,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_240_150_1,"18 Sep, 2020",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/capsule_sm_120.jpg?t=1663254578
Dying Light,฿189.80,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_240_150_1,"21 Apr, 2016",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/239140/capsule_sm_120_alt_assets_34.jpg?t=1666707597
Resident Evil 2,฿239.70,https://store.steampowered.com/app/883710/Resident_Evil_2/?snr=1_7_7_240_150_1,"24 Jan, 2019",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/883710/capsule_sm_120.jpg?t=1656986293
Hunt: Showdown,฿359.50,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_240_150_1,"27 Aug, 2019",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/capsule_sm_120_alt_assets_0.jpg?t=1666795267
Resident Evil 3,฿356.70,https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_240_150_1,"24 Jan, 2019",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/952060/capsule_sm_120.jpg?t=1656993754
Days Gone,฿516.00,https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_7_7_240_150_1,"17 May, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1259420/capsule_sm_120.jpg?t=1635476187
Don't Starve Together,฿81.26,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/capsule_sm_120_alt_assets_33.jpg?t=1666284006
Grounded,"฿1,249.00",https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"27 Sep, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/962130/capsule_sm_120.jpg?t=1664324694
DayZ,฿779.40,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,"13 Dec, 2018",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/221100/capsule_sm_120.jpg?t=1664545942
Ghost Watchers,฿191.20,https://store.steampowered.com/app/1850740/Ghost_Watchers/?snr=1_7_7_240_150_1,"28 Jul, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1850740/capsule_sm_120.jpg?t=1666735635
Ready or Not,฿469.00,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_240_150_1,"17 Dec, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1144200/capsule_sm_120.jpg?t=1667222867
Dying Light 2 Stay Human,"฿1,899.00",https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_240_150_1,"3 Feb, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/534380/capsule_sm_120_alt_assets_4.jpg?t=1666707131
Generation Zero®,฿106.95,https://store.steampowered.com/app/704270/Generation_Zero/?snr=1_7_7_240_150_1,"26 Mar, 2019",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/704270/capsule_sm_120.jpg?t=1667212775
Path of Exile,Free to Play,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,"23 Oct, 2013",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/238960/capsule_sm_120.jpg?t=1661471494
Resident Evil 7 Biohazard,฿299.50,https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_240_150_1,"23 Jan, 2017",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/418370/capsule_sm_120.jpg?t=1656996016
Killing Floor 2,฿139.75,https://store.steampowered.com/app/232090/Killing_Floor_2/?snr=1_7_7_240_150_1,"18 Nov, 2016",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/232090/capsule_sm_120.jpg?t=1665685886
Ghostwire: Tokyo,฿674.99,https://store.steampowered.com/app/1475810/Ghostwire_Tokyo/?snr=1_7_7_240_150_1,"24 Mar, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1475810/capsule_sm_120_alt_assets_1.jpg?t=1666909528
State of Decay 2: Juggernaut Edition,฿249.50,https://store.steampowered.com/app/495420/State_of_Decay_2_Juggernaut_Edition/?snr=1_7_7_240_150_1,"13 Mar, 2020",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/495420/capsule_sm_120.jpg?t=1656875548
DEVOUR,฿79.20,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_240_150_1,"28 Jan, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1274570/capsule_sm_120_alt_assets_0.jpg?t=1664457140
DEATH STRANDING DIRECTOR'S CUT,฿773.40,https://store.steampowered.com/app/1850570/DEATH_STRANDING_DIRECTORS_CUT/?snr=1_7_7_240_150_1,"30 Mar, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1850570/capsule_sm_120.jpg?t=1649438096
The Evil Within 2,฿196.50,https://store.steampowered.com/app/601430/The_Evil_Within_2/?snr=1_7_7_240_150_1,"12 Oct, 2017",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/601430/capsule_sm_120.jpg?t=1569959193
Darkest Dungeon®,฿68.85,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_240_150_1,"19 Jan, 2016",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/262060/capsule_sm_120.jpg?t=1655946236
Inside the Backrooms,฿89.10,https://store.steampowered.com/app/1987080/Inside_the_Backrooms/?snr=1_7_7_240_150_1,"20 Jun, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1987080/capsule_sm_120.jpg?t=1660322585
Resident Evil 6,฿189.00,https://store.steampowered.com/app/221040/Resident_Evil_6/?snr=1_7_7_240_150_1,"21 Mar, 2013",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/221040/capsule_sm_120.jpg?t=1659074499
Stray,฿399.00,https://store.steampowered.com/app/1332010/Stray/?snr=1_7_7_240_150_1,"19 Jul, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1332010/capsule_sm_120.jpg?t=1660855681
Outlast,฿43.35,https://store.steampowered.com/app/238320/Outlast/?snr=1_7_7_240_150_1,"4 Sep, 2013",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/238320/capsule_sm_120.jpg?t=1666817106
Resident Evil 4,฿161.75,https://store.steampowered.com/app/254700/Resident_Evil_4/?snr=1_7_7_240_150_1,"27 Feb, 2014",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/254700/capsule_sm_120.jpg?t=1650860610
Outlast 2,฿56.85,https://store.steampowered.com/app/414700/Outlast_2/?snr=1_7_7_240_150_1,"24 Apr, 2017",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/414700/capsule_sm_120.jpg?t=1618944453
GTFO,฿374.25,https://store.steampowered.com/app/493520/GTFO/?snr=1_7_7_240_150_1,"9 Dec, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/493520/capsule_sm_120.jpg?t=1666254438
Book of Yog Idle RPG,Free To Play,https://store.steampowered.com/app/1097430/Book_of_Yog_Idle_RPG/?snr=1_7_7_240_150_1,"29 Jul, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1097430/capsule_sm_120_alt_assets_0.jpg?t=1667217731
Back 4 Blood,"฿1,590.00",https://store.steampowered.com/app/924970/Back_4_Blood/?snr=1_7_7_240_150_1,"12 Oct, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/924970/capsule_sm_120.jpg?t=1661878309
Resident Evil 4,"฿1,929.00",https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_240_150_1,2023/3/24,Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/2050650/capsule_sm_120.jpg?t=1666665420
Aliens: Fireteam Elite,฿455.00,https://store.steampowered.com/app/1549970/Aliens_Fireteam_Elite/?snr=1_7_7_240_150_1,"23 Aug, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1549970/capsule_sm_120.jpg?t=1664904036
Left 4 Dead 2,฿220.00,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_240_150_1,"16 Nov, 2009",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/550/capsule_sm_120.jpg?t=1666824129
Night of the Dead,฿213.73,https://store.steampowered.com/app/1377380/Night_of_the_Dead/?snr=1_7_7_240_150_1,"27 Aug, 2020",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1377380/capsule_sm_120.jpg?t=1667195111
The Quarry,฿894.00,https://store.steampowered.com/app/1577120/The_Quarry/?snr=1_7_7_240_150_1,"9 Jun, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1577120/capsule_sm_120.jpg?t=1666631297
Scorn,฿539.00,https://store.steampowered.com/app/698670/Scorn/?snr=1_7_7_240_150_1,"14 Oct, 2022",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/698670/capsule_sm_120.jpg?t=1666647386
Resident Evil 5,฿126.00,https://store.steampowered.com/app/21690/Resident_Evil_5/?snr=1_7_7_240_150_1,"15 Sep, 2009",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/21690/capsule_sm_120.jpg?t=1659074291
Alice: Madness Returns,฿81.00,https://store.steampowered.com/app/19680/Alice_Madness_Returns/?snr=1_7_7_240_150_1,"17 Jun, 2011",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/19680/capsule_sm_120.jpg?t=1655743771
Dead Space™ 3,฿135.00,https://store.steampowered.com/app/1238060/Dead_Space_3/?snr=1_7_7_240_150_1,"18 Jun, 2020",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1238060/capsule_sm_120.jpg?t=1614938992
Home Sweet Home : Survive,฿139.00,https://store.steampowered.com/app/1056600/Home_Sweet_Home__Survive/?snr=1_7_7_240_150_1,"25 Mar, 2021",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/1056600/capsule_sm_120.jpg?t=1656393111
Control Ultimate Edition,฿357.00,https://store.steampowered.com/app/870780/Control_Ultimate_Edition/?snr=1_7_7_240_150_1,"27 Aug, 2020",Horor,https://cdn.cloudflare.steamstatic.com/steam/apps/870780/capsule_sm_120.jpg?t=1655979558
