game,price,link,release_date,game_type,image
Black Desert,200.00,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"17 Sep, 2019",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/582660/header.jpg?t=1667552581
New World,274.50,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_240_150_1,"28 Sep, 2021",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/header.jpg?t=1666108453
Guild Wars 2,0,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_240_150_1,"23 Aug, 2022",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1284210/header.jpg?t=1662078090
Phantasy Star Online 2 New Genesis,0,https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2_New_Genesis/?snr=1_7_7_240_150_1,"5 Aug, 2020",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1056640/header.jpg?t=1662461737
Destiny 2,0,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_240_150_1,"1 Oct, 2019",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/header.jpg?t=1661876523
Tower of Fantasy,0,https://store.steampowered.com/app/2064650/Tower_of_Fantasy/?snr=1_7_7_240_150_1,"19 Oct, 2022",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/2064650/header.jpg?t=1666949195
Path of Exile,0,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,"23 Oct, 2013",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/238960/header.jpg?t=1661471494
TRAHA Global,0,https://store.steampowered.com/app/2119490/TRAHA_Global/?snr=1_7_7_240_150_1,"1 Nov, 2022",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/2119490/header.jpg?t=1667354430
Monster Hunter: World,739.00,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_240_150_1,"9 Aug, 2018",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/582010/header.jpg?t=1661838392
Granado Espada,0,https://store.steampowered.com/app/663090/Granado_Espada/?snr=1_7_7_240_150_1,"15 Oct, 2017",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/663090/header.jpg?t=1626851410
War Robots,0,https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_240_150_1,"4 Apr, 2018",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/767560/header.jpg?t=1661416850
Fallout 76: The Pitt,1310.00,https://store.steampowered.com/app/1151340/Fallout_76_The_Pitt/?snr=1_7_7_240_150_1,"14 Apr, 2020",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1151340/header.jpg?t=1665581700
Soulworker,0,https://store.steampowered.com/app/1377580/Soulworker/?snr=1_7_7_240_150_1,"12 May, 2021",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1377580/header.jpg?t=1666232286
Tree of Savior (English Ver.),0,https://store.steampowered.com/app/372000/Tree_of_Savior_English_Ver/?snr=1_7_7_240_150_1,"28 Mar, 2016",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/372000/header.jpg?t=1659597752
Conqueror's Blade,0,https://store.steampowered.com/app/835570/Conquerors_Blade/?snr=1_7_7_240_150_1,"5 Apr, 2020",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/835570/header.jpg?t=1667200063
The Elder Scrolls® Online,660.00,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_240_150_1,"22 May, 2017",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/306130/header.jpg?t=1667312669
Albion Online,0,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_240_150_1,"16 May, 2018",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/761890/header.jpg?t=1662996017
IdleOn - The Idle MMO,0,https://store.steampowered.com/app/1476970/IdleOn__The_Idle_MMO/?snr=1_7_7_240_150_1,"2 Apr, 2021",MMORPG,https://cdn.cloudflare.steamstatic.com/steam/apps/1476970/header.jpg?t=1660610995
