game,price,link,release_date,game_type,image
Dota 2,Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"9 Jul, 2013",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1666237243
Super Mecha Champions,Free To Play,https://store.steampowered.com/app/1368910/Super_Mecha_Champions/?snr=1_7_7_240_150_1,"25 Mar, 2021",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1368910/capsule_sm_120.jpg?t=1643389129
FOR HONOR™,฿400.00,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"13 Feb, 2017",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/304390/capsule_sm_120.jpg?t=1666271501
Eternal Return,Free To Play,https://store.steampowered.com/app/1049590/Eternal_Return/?snr=1_7_7_240_150_1,"14 Oct, 2020",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1049590/capsule_sm_120.jpg?t=1666853236
NARUTO TO BORUTO: SHINOBI STRIKER,"฿1,590.00",https://store.steampowered.com/app/633230/NARUTO_TO_BORUTO_SHINOBI_STRIKER/?snr=1_7_7_240_150_1,"30 Aug, 2018",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/633230/capsule_sm_120.jpg?t=1664488995
Paladins®,Free to Play,https://store.steampowered.com/app/444090/Paladins/?snr=1_7_7_240_150_1,"8 May, 2018",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/444090/capsule_sm_120.jpg?t=1665684217
SMITE®,Free to Play,https://store.steampowered.com/app/386360/SMITE/?snr=1_7_7_240_150_1,"8 Sep, 2015",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/386360/capsule_sm_120.jpg?t=1666794933
FreestyleFootball R,Free To Play,https://store.steampowered.com/app/1826980/FreestyleFootball_R/?snr=1_7_7_240_150_1,"13 Sep, 2022",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1826980/capsule_sm_120.jpg?t=1664349834
Blood of Steel,Free To Play,https://store.steampowered.com/app/567630/Blood_of_Steel/?snr=1_7_7_240_150_1,"20 Oct, 2020",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/567630/capsule_sm_120.jpg?t=1654741274
SMASH LEGENDS,Free To Play,https://store.steampowered.com/app/1352080/SMASH_LEGENDS/?snr=1_7_7_240_150_1,"12 Apr, 2021",MOBA,https://cdn.cloudflare.steamstatic.com/steam/apps/1352080/capsule_sm_120.jpg?t=1647949896
