game,price,link,release_date,game_type,image
UNCHARTED™: Legacy of Thieves Collection,1290.00,https://store.steampowered.com/app/1659420/UNCHARTED_Legacy_of_Thieves_Collection/?snr=1_7_7_240_150_1,"19 Oct, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1659420/header.jpg?t=1666804146
DEVOUR,99.00,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_240_150_1,"28 Jan, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1274570/header.jpg?t=1667274838
Stray,399.00,https://store.steampowered.com/app/1332010/Stray/?snr=1_7_7_240_150_1,"19 Jul, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1332010/header.jpg?t=1660855681
Resident Evil 2,799.00,https://store.steampowered.com/app/883710/Resident_Evil_2/?snr=1_7_7_240_150_1,"24 Jan, 2019",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/883710/header.jpg?t=1667258048
Ghost Watchers,239.00,https://store.steampowered.com/app/1850740/Ghost_Watchers/?snr=1_7_7_240_150_1,"28 Jul, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1850740/header.jpg?t=1666735635
Human: Fall Flat,315.00,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_240_150_1,"22 Jul, 2016",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/477160/header.jpg?t=1663918736
Unpacking,202.30,https://store.steampowered.com/app/1135690/Unpacking/?snr=1_7_7_240_150_1,"1 Nov, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1135690/header.jpg?t=1667442474
Inscryption,233.40,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_240_150_1,"19 Oct, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1092790/header.jpg?t=1660265312
HITMAN 3,1517.00,https://store.steampowered.com/app/1659040/HITMAN_3/?snr=1_7_7_240_150_1,"20 Jan, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1659040/header.jpg?t=1661511609
Teardown,289.00,https://store.steampowered.com/app/1167630/Teardown/?snr=1_7_7_240_150_1,"21 Apr, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1167630/header.jpg?t=1666292775
The Past Within,81.00,https://store.steampowered.com/app/1515210/The_Past_Within/?snr=1_7_7_240_150_1,"2 Nov, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1515210/header.jpg?t=1667695142
Escape Simulator,239.00,https://store.steampowered.com/app/1435790/Escape_Simulator/?snr=1_7_7_240_150_1,"19 Oct, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1435790/header.jpg?t=1667477248
Hogwarts Legacy,1590.00,https://store.steampowered.com/app/990080/Hogwarts_Legacy/?snr=1_7_7_240_150_1,"10 Feb, 2023",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/990080/header.jpg?t=1666995827
Batman™: Arkham Knight,369.00,https://store.steampowered.com/app/208650/Batman_Arkham_Knight/?snr=1_7_7_240_150_1,"23 Jun, 2015",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/208650/header.jpg?t=1634156452
Car Mechanic Simulator 2021,319.00,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_240_150_1,"11 Aug, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1190000/header.jpg?t=1667564639
LEGO® Star Wars™: The Skywalker Saga,1320.00,https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga/?snr=1_7_7_240_150_1,"5 Apr, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/header.jpg?t=1667517738
Scorn,539.00,https://store.steampowered.com/app/698670/Scorn/?snr=1_7_7_240_150_1,"14 Oct, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/698670/header.jpg?t=1666647386
KeyWe,159.50,https://store.steampowered.com/app/1242980/KeyWe/?snr=1_7_7_240_150_1,"31 Aug, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1242980/header.jpg?t=1650620418
Inside the Backrooms,99.00,https://store.steampowered.com/app/1987080/Inside_the_Backrooms/?snr=1_7_7_240_150_1,"20 Jun, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1987080/header.jpg?t=1660322585
It Takes Two,1099.00,https://store.steampowered.com/app/1426210/It_Takes_Two/?snr=1_7_7_240_150_1,"25 Mar, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1426210/header.jpg?t=1666121755
PICO PARK,99.00,https://store.steampowered.com/app/1509960/PICO_PARK/?snr=1_7_7_240_150_1,"7 May, 2021",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1509960/header.jpg?t=1627200665
Plants vs. Zombies GOTY Edition,170.00,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition/?snr=1_7_7_240_150_1,"5 May, 2009",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/3590/header.jpg?t=1615390608
Ori and the Will of the Wisps,379.00,https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_240_150_1,"10 Mar, 2020",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1057090/header.jpg?t=1667504225
Pacify,99.00,https://store.steampowered.com/app/967050/Pacify/?snr=1_7_7_240_150_1,"22 Feb, 2019",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/967050/header.jpg?t=1639171467
PC Building Simulator,289.00,https://store.steampowered.com/app/621060/PC_Building_Simulator/?snr=1_7_7_240_150_1,"29 Jan, 2019",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/621060/header.jpg?t=1653555111
STAR WARS Jedi: Fallen Order™,1099.00,https://store.steampowered.com/app/1172380/STAR_WARS_Jedi_Fallen_Order/?snr=1_7_7_240_150_1,"14 Nov, 2019",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1172380/header.jpg?t=1651767465
Resident Evil 7 Biohazard,599.00,https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_240_150_1,"23 Jan, 2017",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/418370/header.jpg?t=1656996016
SIGNALIS,289.00,https://store.steampowered.com/app/1262350/SIGNALIS/?snr=1_7_7_240_150_1,"27 Oct, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1262350/header.jpg?t=1666983782
Home Sweet Home,329.00,https://store.steampowered.com/app/617160/Home_Sweet_Home/?snr=1_7_7_240_150_1,"26 Sep, 2017",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/617160/header.jpg?t=1544779603
HITMAN™ 2,,https://store.steampowered.com/app/863550/HITMAN_2/?snr=1_7_7_240_150_1,"13 Nov, 2018",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/863550/header.jpg?t=1667311009
Dorfromantik,229.00,https://store.steampowered.com/app/1455840/Dorfromantik/?snr=1_7_7_240_150_1,"28 Apr, 2022",Puzzle,https://cdn.cloudflare.steamstatic.com/steam/apps/1455840/header.jpg?t=1667214650
