game,price,link,release_date,game_type,image
Dyson Sphere Program,฿289.00,https://store.steampowered.com/app/1366540/Dyson_Sphere_Program/?snr=1_7_7_240_150_1,"20 Jan, 2021",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/1366540/header.jpg?t=1665978903
STAR WARS™ Empire at War - Gold Pack,฿289.00,https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/?snr=1_7_7_240_150_1,"25 May, 2010",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/32470/header.jpg?t=1586462434
Stronghold Crusader HD,฿219.00,https://store.steampowered.com/app/40970/Stronghold_Crusader_HD/?snr=1_7_7_240_150_1,"21 Oct, 2013",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/40970/header.jpg?t=1667305085
Door Kickers 2: Task Force North,฿495.00,https://store.steampowered.com/app/1239080/Door_Kickers_2_Task_Force_North/?snr=1_7_7_240_150_1,"3 Nov, 2020",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/1239080/header.jpg?t=1659949933
Rusted Warfare - RTS,฿129.00,https://store.steampowered.com/app/647960/Rusted_Warfare__RTS/?snr=1_7_7_240_150_1,"14 Jul, 2017",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/647960/header.jpg?t=1569131908
Shadow Tactics: Blades of the Shogun,฿72.90,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/?snr=1_7_7_240_150_1,"6 Dec, 2016",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/418240/header.jpg?t=1662471039
Mindustry,฿189.00,https://store.steampowered.com/app/1127400/Mindustry/?snr=1_7_7_240_150_1,"26 Sep, 2019",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/1127400/header.jpg?t=1664665959
Supreme Commander: Forged Alliance,฿289.00,https://store.steampowered.com/app/9420/Supreme_Commander_Forged_Alliance/?snr=1_7_7_240_150_1,"28 Sep, 2011",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/9420/header.jpg?t=1592488757
Desperados III,฿525.00,https://store.steampowered.com/app/610370/Desperados_III/?snr=1_7_7_240_150_1,"16 Jun, 2020",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/610370/header.jpg?t=1660368149
Kingdom Rush Frontiers - Tower Defense,฿219.00,https://store.steampowered.com/app/458710/Kingdom_Rush_Frontiers__Tower_Defense/?snr=1_7_7_240_150_1,"25 Jul, 2016",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/458710/header.jpg?t=1665149675
"Warhammer® 40,000: Dawn of War® - Dark Crusade",฿289.00,https://store.steampowered.com/app/4580/Warhammer_40000_Dawn_of_War__Dark_Crusade/?snr=1_7_7_240_150_1,"14 May, 2014",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/4580/header.jpg?t=1603128095
Creeper World 3: Arc Eternal,฿239.00,https://store.steampowered.com/app/280220/Creeper_World_3_Arc_Eternal/?snr=1_7_7_240_150_1,"27 Mar, 2014",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/280220/header.jpg?t=1645146252
Total Annihilation,฿129.00,https://store.steampowered.com/app/298030/Total_Annihilation/?snr=1_7_7_240_150_1,"18 Dec, 2015",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/298030/header.jpg?t=1665692736
Lords of the Realm II,฿79.00,https://store.steampowered.com/app/397350/Lords_of_the_Realm_II/?snr=1_7_7_240_150_1,"3 Dec, 2015",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/397350/header.jpg?t=1579791554
Creeper World: Anniversary Edition,฿99.00,https://store.steampowered.com/app/422910/Creeper_World_Anniversary_Edition/?snr=1_7_7_240_150_1,"16 Nov, 2016",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/422910/header.jpg?t=1590083391
Age of Empires II (2013),฿369.00,https://store.steampowered.com/app/221380/Age_of_Empires_II_2013/?snr=1_7_7_240_150_1,"9 Apr, 2013",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/221380/header.jpg?t=1667261666
"Warhammer 40,000: Dawn of War - Master Collection",฿869.00,https://store.steampowered.com/sub/30560/?snr=1_7_7_240_150_1,"14 May, 2014",RTS,https://cdn.cloudflare.steamstatic.com/steam/subs/30560/header.jpg?t=1655743704
Total War: MEDIEVAL II - Definitive Edition,฿489.00,https://store.steampowered.com/sub/460/?snr=1_7_7_240_150_1,"27 Nov, 2007",RTS,https://cdn.cloudflare.steamstatic.com/steam/subs/460/header.jpg?t=1542731625
Total War: MEDIEVAL II – Definitive Edition,฿489.00,https://store.steampowered.com/app/4700/Total_War_MEDIEVAL_II__Definitive_Edition/?snr=1_7_7_240_150_1,"27 Nov, 2007",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/4700/header.jpg?t=1603131082
"Warhammer® 40,000: Dawn of War® - Soulstorm",฿289.00,https://store.steampowered.com/app/9450/Warhammer_40000_Dawn_of_War__Soulstorm/?snr=1_7_7_240_150_1,"7 Mar, 2008",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/9450/header.jpg?t=1603128237
Stronghold HD,฿149.00,https://store.steampowered.com/app/40950/Stronghold_HD/?snr=1_7_7_240_150_1,"21 Oct, 2013",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/40950/header.jpg?t=1667304884
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",฿289.00,https://store.steampowered.com/app/4570/Warhammer_40000_Dawn_of_War__Game_of_the_Year_Edition/?snr=1_7_7_240_150_1,"14 May, 2014",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/4570/header.jpg?t=1622581511
Airships: Conquer the Skies,฿319.00,https://store.steampowered.com/app/342560/Airships_Conquer_the_Skies/?snr=1_7_7_240_150_1,"16 Aug, 2018",RTS,https://cdn.cloudflare.steamstatic.com/steam/apps/342560/header.jpg?t=1660669707
