game,price,link,release_date,game_type
Zeepkist,฿209.00,https://store.steampowered.com/app/1440670/Zeepkist/?snr=1_7_7_240_150_1,"28 Jan, 2021",Racing
BeamNG.drive,฿319.00,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_240_150_1,"29 May, 2015",Racing
Superflight,฿63.00,https://store.steampowered.com/app/732430/Superflight/?snr=1_7_7_240_150_1,"8 Nov, 2017",Racing
Retrowave,฿63.00,https://store.steampowered.com/app/1239690/Retrowave/?snr=1_7_7_240_150_1,"6 May, 2022",Racing
Mon Bazou,฿229.00,https://store.steampowered.com/app/1520370/Mon_Bazou/?snr=1_7_7_240_150_1,"16 Dec, 2021",Racing
Vecter,Free,https://store.steampowered.com/app/1175140/Vecter/?snr=1_7_7_240_150_1,"14 Oct, 2020",Racing
Shipped,฿189.00,https://store.steampowered.com/app/1037190/Shipped/?snr=1_7_7_240_150_1,"28 Mar, 2019",Racing
CarX Drift Racing Online,฿239.00,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online/?snr=1_7_7_240_150_1,"17 Nov, 2017",Racing
Car Mechanic Simulator 2021,฿319.00,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_240_150_1,"11 Aug, 2021",Racing
FlatOut 2™,฿182.25,https://store.steampowered.com/app/2990/FlatOut_2/?snr=1_7_7_240_150_1,"13 Dec, 2011",Racing
Descenders,฿319.00,https://store.steampowered.com/app/681280/Descenders/?snr=1_7_7_240_150_1,"7 May, 2019",Racing
AudioSurf,฿189.00,https://store.steampowered.com/app/12900/AudioSurf/?snr=1_7_7_240_150_1,"15 Feb, 2008",Racing
Horizon Chase Turbo,฿316.99,https://store.steampowered.com/app/389140/Horizon_Chase_Turbo/?snr=1_7_7_240_150_1,"15 May, 2018",Racing
Kao the Kangaroo: Round 2 (2003 re-release),฿69.90,https://store.steampowered.com/app/1048540/Kao_the_Kangaroo_Round_2_2003_rerelease/?snr=1_7_7_240_150_1,"31 May, 2019",Racing
Ragnarock,฿223.30,https://store.steampowered.com/app/1345820/Ragnarock/?snr=1_7_7_240_150_1,"15 Jul, 2021",Racing
SEUM: Speedrunners from Hell,฿315.00,https://store.steampowered.com/app/457210/SEUM_Speedrunners_from_Hell/?snr=1_7_7_240_150_1,"28 Jul, 2016",Racing
Motor Town: Behind The Wheel,฿239.00,https://store.steampowered.com/app/1369670/Motor_Town_Behind_The_Wheel/?snr=1_7_7_240_150_1,"17 Dec, 2021",Racing
BallisticNG,฿159.00,https://store.steampowered.com/app/473770/BallisticNG/?snr=1_7_7_240_150_1,"14 Dec, 2018",Racing
Cyber Hook,฿59.75,https://store.steampowered.com/app/1130410/Cyber_Hook/?snr=1_7_7_240_150_1,"24 Sep, 2020",Racing
Dino Run DX,฿149.00,https://store.steampowered.com/app/248330/Dino_Run_DX/?snr=1_7_7_240_150_1,"29 Sep, 2015",Racing
Vangers,฿169.00,https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_240_150_1,"24 Apr, 2014",Racing
Elasto Mania Remastered,฿189.00,https://store.steampowered.com/app/1290220/Elasto_Mania_Remastered/?snr=1_7_7_240_150_1,"25 May, 2020",Racing
Baka Adventures,Free To Play,https://store.steampowered.com/app/1840660/Baka_Adventures/?snr=1_7_7_240_150_1,"22 Jun, 2022",Racing
Super Ride Grandpa,Free To Play,https://store.steampowered.com/app/1966580/Super_Ride_Grandpa/?snr=1_7_7_240_150_1,"9 May, 2022",Racing
Blind Drive,฿189.00,https://store.steampowered.com/app/1300600/Blind_Drive/?snr=1_7_7_240_150_1,"10 Mar, 2021",Racing
SEQUENCE STORM,Free to Play,https://store.steampowered.com/app/630640/SEQUENCE_STORM/?snr=1_7_7_240_150_1,"21 Dec, 2018",Racing
City Zoomer,฿99.00,https://store.steampowered.com/app/1745790/City_Zoomer/?snr=1_7_7_240_150_1,"12 Nov, 2021",Racing
RollingSky2,฿219.00,https://store.steampowered.com/app/1067440/RollingSky2/?snr=1_7_7_240_150_1,"31 Mar, 2020",Racing
Boss of this gym,฿23.00,https://store.steampowered.com/app/1396890/Boss_of_this_gym/?snr=1_7_7_240_150_1,"5 Mar, 2021",Racing
Rocket Assault: Black City,฿209.00,https://store.steampowered.com/app/880730/Rocket_Assault_Black_City/?snr=1_7_7_240_150_1,"18 Feb, 2021",Racing
Paperball,฿209.00,https://store.steampowered.com/app/1198510/Paperball/?snr=1_7_7_240_150_1,"27 Mar, 2020",Racing
GP Bikes,฿319.00,https://store.steampowered.com/app/848050/GP_Bikes/?snr=1_7_7_240_150_1,"17 Dec, 2021",Racing
IllusionCircle,฿23.00,https://store.steampowered.com/app/1828640/IllusionCircle/?snr=1_7_7_240_150_1,"15 Dec, 2021",Racing
Rifter,฿209.00,https://store.steampowered.com/app/625740/Rifter/?snr=1_7_7_240_150_1,"12 Jul, 2018",Racing
Run Run Run,฿63.00,https://store.steampowered.com/app/1714070/Run_Run_Run/?snr=1_7_7_240_150_1,"12 Oct, 2021",Racing
sunny-place,฿69.50,https://store.steampowered.com/app/1489120/sunnyplace/?snr=1_7_7_240_150_1,"21 Dec, 2021",Racing
Slowdrive,฿99.00,https://store.steampowered.com/app/592300/Slowdrive/?snr=1_7_7_240_150_1,"27 Apr, 2017",Racing
Balancelot,฿159.00,https://store.steampowered.com/app/1035850/Balancelot/?snr=1_7_7_240_150_1,"23 May, 2019",Racing
Squad 51 vs. the Flying Saucers,฿289.00,https://store.steampowered.com/app/1378800/Squad_51_vs_the_Flying_Saucers/?snr=1_7_7_240_150_1,"21 Sep, 2022",Racing
Remnants of Naezith,฿189.00,https://store.steampowered.com/app/590590/Remnants_of_Naezith/?snr=1_7_7_240_150_1,"5 Feb, 2018",Racing
PAC-MAN WORLD Re-PAC,฿590.00,https://store.steampowered.com/app/1859470/PACMAN_WORLD_RePAC/?snr=1_7_7_240_150_1,"25 Aug, 2022",Racing
Interstate Drifter 1999,Free,https://store.steampowered.com/app/1383770/Interstate_Drifter_1999/?snr=1_7_7_240_150_1,"16 Sep, 2020",Racing
Rolled Out!,฿289.00,https://store.steampowered.com/app/873270/Rolled_Out/?snr=1_7_7_240_150_1,"23 Mar, 2021",Racing
Jumps,฿85.00,https://store.steampowered.com/app/544310/Jumps/?snr=1_7_7_240_150_1,"31 Mar, 2017",Racing
Drift Phonk 666,฿199.00,https://store.steampowered.com/app/1591870/Drift_Phonk_666/?snr=1_7_7_240_150_1,"16 Apr, 2021",Racing
Minit Fun Racer,฿63.00,https://store.steampowered.com/app/1503530/Minit_Fun_Racer/?snr=1_7_7_240_150_1,"18 Feb, 2021",Racing
The Floor Is Still Really Cheap Lava,Free To Play,https://store.steampowered.com/app/1189060/The_Floor_Is_Still_Really_Cheap_Lava/?snr=1_7_7_240_150_1,"25 Nov, 2020",Racing
Ultimate Racing 2D 2,฿189.00,https://store.steampowered.com/app/1285230/Ultimate_Racing_2D_2/?snr=1_7_7_240_150_1,"12 Oct, 2021",Racing
F1® 2020,฿699.00,https://store.steampowered.com/app/1080110/F1_2020/?snr=1_7_7_240_150_1,"9 Jul, 2020",Racing
SpeedRunners,฿49.75,https://store.steampowered.com/app/207140/SpeedRunners/?snr=1_7_7_240_150_1,"19 Apr, 2016",Racing
