game,price,link,release_date,game_type,image
Hades,฿191.40,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_240_150_1,"17 Sep, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1145360/capsule_sm_120.jpg?t=1661549369
Darkest Dungeon®,฿68.85,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_240_150_1,"19 Jan, 2016",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/262060/capsule_sm_120.jpg?t=1655946236
Tribes of Midgard,฿184.50,https://store.steampowered.com/app/858820/Tribes_of_Midgard/?snr=1_7_7_240_150_1,"27 Jul, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/858820/capsule_sm_120.jpg?t=1666907197
PlateUp!,฿215.20,https://store.steampowered.com/app/1599600/PlateUp/?snr=1_7_7_240_150_1,"4 Aug, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1599600/capsule_sm_120_alt_assets_1.jpg?t=1666703697
Dome Keeper,฿399.00,https://store.steampowered.com/app/1637320/Dome_Keeper/?snr=1_7_7_240_150_1,"27 Sep, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1637320/capsule_sm_120.jpg?t=1666340994
Vampire Survivors,฿95.20,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_240_150_1,"20 Oct, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1794680/capsule_sm_120.jpg?t=1666779006
The Wandering Village,฿319.00,https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_240_150_1,"14 Sep, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1121640/capsule_sm_120.jpg?t=1663541717
Gunfire Reborn,฿399.00,https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_240_150_1,"17 Nov, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1217060/capsule_sm_120.jpg?t=1664195229
Have a Nice Death,฿252.00,https://store.steampowered.com/app/1740720/Have_a_Nice_Death/?snr=1_7_7_240_150_1,"8 Mar, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1740720/capsule_sm_120.jpg?t=1666858309
Inscryption,฿233.40,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_240_150_1,"19 Oct, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1092790/capsule_sm_120.jpg?t=1660265312
Risk of Rain 2,฿319.00,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_240_150_1,"11 Aug, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/632360/capsule_sm_120.jpg?t=1660063598
Dead Cells,฿389.00,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_240_150_1,"6 Aug, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/588650/capsule_sm_120.jpg?t=1665137249
Hero Siege,฿139.99,https://store.steampowered.com/app/269210/Hero_Siege/?snr=1_7_7_240_150_1,"29 Jan, 2014",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/269210/capsule_sm_120.jpg?t=1628765735
Lobotomy Corporation | Monster Management Simulation,฿108.46,https://store.steampowered.com/app/568220/Lobotomy_Corporation__Monster_Management_Simulation/?snr=1_7_7_240_150_1,"9 Apr, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/568220/capsule_sm_120.jpg?t=1636694188
Legend of Keepers: Career of a Dungeon Manager,฿57.80,https://store.steampowered.com/app/978520/Legend_of_Keepers_Career_of_a_Dungeon_Manager/?snr=1_7_7_240_150_1,"29 Apr, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/978520/capsule_sm_120.jpg?t=1667162979
Gloomhaven,฿599.00,https://store.steampowered.com/app/780290/Gloomhaven/?snr=1_7_7_240_150_1,"20 Oct, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/780290/capsule_sm_120_alt_assets_0.jpg?t=1665407848
Shatterline,Free To Play,https://store.steampowered.com/app/2087030/Shatterline/?snr=1_7_7_240_150_1,"8 Sep, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/2087030/capsule_sm_120.jpg?t=1666985449
The Binding of Isaac: Rebirth,฿239.00,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_240_150_1,"4 Nov, 2014",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/250900/capsule_sm_120.jpg?t=1617174663
Don't Starve,฿189.00,https://store.steampowered.com/app/219740/Dont_Starve/?snr=1_7_7_240_150_1,"20 Jan, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/219740/capsule_sm_120.jpg?t=1666814043
Skul: The Hero Slayer,฿289.00,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/?snr=1_7_7_240_150_1,"19 Apr, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1147560/capsule_sm_120.jpg?t=1656292935
For The King,฿289.00,https://store.steampowered.com/app/527230/For_The_King/?snr=1_7_7_240_150_1,"17 Aug, 2017",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/527230/capsule_sm_120.jpg?t=1657213218
Darkwood,฿80.70,https://store.steampowered.com/app/274520/Darkwood/?snr=1_7_7_240_150_1,"20 Feb, 2012",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/274520/capsule_sm_120.jpg?t=1667224867
Realm of the Mad God Exalt,Free to Play,https://store.steampowered.com/app/200210/Realm_of_the_Mad_God_Exalt/?snr=1_7_7_240_150_1,"16 Aug, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/200210/capsule_sm_120.jpg?t=1659426890
Across the Obelisk,฿399.20,https://store.steampowered.com/app/1385380/Across_the_Obelisk/?snr=1_7_7_240_150_1,"16 Feb, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1385380/capsule_sm_120.jpg?t=1666627513
GetsuFumaDen: Undying Moon,฿191.40,https://store.steampowered.com/app/1323470/GetsuFumaDen_Undying_Moon/?snr=1_7_7_240_150_1,"29 May, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1323470/capsule_sm_120.jpg?t=1653541745
Moonlighter,฿57.80,https://store.steampowered.com/app/606150/Moonlighter/?snr=1_7_7_240_150_1,"23 Apr, 2015",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/606150/capsule_sm_120.jpg?t=1663252368
Crypt of the NecroDancer,฿63.00,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/?snr=1_7_7_240_150_1,"13 Oct, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/247080/capsule_sm_120.jpg?t=1659637239
Alina of the Arena,฿239.00,https://store.steampowered.com/app/1668690/Alina_of_the_Arena/?snr=1_7_7_240_150_1,"14 Oct, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1668690/capsule_sm_120_alt_assets_0.jpg?t=1665680596
Beautiful Mystic Survivors,฿99.00,https://store.steampowered.com/app/1930600/Beautiful_Mystic_Survivors/?snr=1_7_7_240_150_1,"29 Sep, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1930600/capsule_sm_120.jpg?t=1665745223
Despot's Game: Dystopian Battle Simulator,฿289.00,https://store.steampowered.com/app/1227280/Despots_Game_Dystopian_Battle_Simulator/?snr=1_7_7_240_150_1,"15 Oct, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1227280/capsule_sm_120.jpg?t=1666610790
Noita,฿289.00,https://store.steampowered.com/app/881100/Noita/?snr=1_7_7_240_150_1,"26 Jan, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/881100/capsule_sm_120.jpg?t=1627905909
嗜血印 Bloody Spell,฿319.00,https://store.steampowered.com/app/992300/_Bloody_Spell/?snr=1_7_7_240_150_1,"17 Sep, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/992300/capsule_sm_120.jpg?t=1663637092
Atomicrops,฿95.60,https://store.steampowered.com/app/757320/Atomicrops/?snr=1_7_7_240_150_1,"23 Jan, 2019",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/757320/capsule_sm_120.jpg?t=1666960280
Slay the Spire,฿319.00,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"25 Oct, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/646570/capsule_sm_120.jpg?t=1666988685
Touhou Genso Wanderer -Reloaded-,฿424.50,https://store.steampowered.com/app/931500/Touhou_Genso_Wanderer_Reloaded/?snr=1_7_7_240_150_1,"18 Jan, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/931500/capsule_sm_120.jpg?t=1622004692
暖雪 Warm Snow,฿201.75,https://store.steampowered.com/app/1296830/_Warm_Snow/?snr=1_7_7_240_150_1,"8 Mar, 2019",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1296830/capsule_sm_120.jpg?t=1660317999
Quest Hunter,฿299.00,https://store.steampowered.com/app/487000/Quest_Hunter/?snr=1_7_7_240_150_1,"15 Aug, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/487000/capsule_sm_120_alt_assets_1.jpg?t=1666026219
Backpack Hero,฿233.10,https://store.steampowered.com/app/1970580/Backpack_Hero/?snr=1_7_7_240_150_1,"13 Jul, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1970580/capsule_sm_120.jpg?t=1666644471
Necrosmith,฿63.00,https://store.steampowered.com/app/1949190/Necrosmith/?snr=1_7_7_240_150_1,"7 Jun, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1949190/capsule_sm_120.jpg?t=1665402126
20 Minutes Till Dawn,฿115.00,https://store.steampowered.com/app/1966900/20_Minutes_Till_Dawn/?snr=1_7_7_240_150_1,"18 Aug, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1966900/capsule_sm_120.jpg?t=1666879703
Bounty of One,฿69.97,https://store.steampowered.com/app/1968730/Bounty_of_One/?snr=1_7_7_240_150_1,"6 Feb, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1968730/capsule_sm_120.jpg?t=1666880454
Stoneshard,฿319.00,https://store.steampowered.com/app/625960/Stoneshard/?snr=1_7_7_240_150_1,"23 Apr, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/625960/capsule_sm_120.jpg?t=1665595816
Iratus: Lord of the Dead,฿479.00,https://store.steampowered.com/app/807120/Iratus_Lord_of_the_Dead/?snr=1_7_7_240_150_1,"27 Jul, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/807120/capsule_sm_120.jpg?t=1666023545
Clone Drone in the Danger Zone,฿173.40,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/?snr=1_7_7_240_150_1,"28 Jan, 2022",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/597170/capsule_sm_120.jpg?t=1655926512
Rogue Tower,฿239.00,https://store.steampowered.com/app/1843760/Rogue_Tower/?snr=1_7_7_240_150_1,"16 Nov, 2018",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1843760/capsule_sm_120.jpg?t=1643386141
Bad North: Jotunn Edition,฿83.65,https://store.steampowered.com/app/688420/Bad_North_Jotunn_Edition/?snr=1_7_7_240_150_1,"5 Apr, 2016",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/688420/capsule_sm_120.jpg?t=1666966500
Enter the Gungeon,฿315.00,https://store.steampowered.com/app/311690/Enter_the_Gungeon/?snr=1_7_7_240_150_1,"12 Jul, 2019",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/311690/capsule_sm_120.jpg?t=1666986657
Streets of Rogue,฿289.00,https://store.steampowered.com/app/512900/Streets_of_Rogue/?snr=1_7_7_240_150_1,"21 May, 2020",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/512900/capsule_sm_120.jpg?t=1664902539
Monster Train,฿319.00,https://store.steampowered.com/app/1102190/Monster_Train/?snr=1_7_7_240_150_1,"23 Feb, 2021",Rogue-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1102190/capsule_sm_120_alt_assets_5.jpg?t=1666054291
