game,price,link,release_date,game_type,image
Warhammer: Vermintide 2,0,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_240_150_1,"8 Mar, 2018",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/552500/header.jpg?t=1667588113
Don't Starve Together,239.00,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/322330/header.jpg?t=1666284006
Cult of the Lamb,549.00,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_240_150_1,"11 Aug, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1313140/header.jpg?t=1667289686
PlateUp!,215.20,https://store.steampowered.com/app/1599600/PlateUp/?snr=1_7_7_240_150_1,"4 Aug, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1599600/header.jpg?t=1666703697
Gunfire Reborn,399.00,https://store.steampowered.com/app/1217060/Gunfire_Reborn/?snr=1_7_7_240_150_1,"17 Nov, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1217060/header.jpg?t=1664195229
Hades,319.00,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_240_150_1,"17 Sep, 2020",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1145360/header.jpg?t=1661549369
Brotato,99.00,https://store.steampowered.com/app/1942280/Brotato/?snr=1_7_7_240_150_1,"27 Sep, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1942280/header.jpg?t=1667171053
Back 4 Blood,1590.00,https://store.steampowered.com/app/924970/Back_4_Blood/?snr=1_7_7_240_150_1,"12 Oct, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/924970/header.jpg?t=1661878309
The Wandering Village,319.00,https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_240_150_1,"14 Sep, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1121640/header.jpg?t=1663541717
Inscryption,233.40,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_240_150_1,"19 Oct, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1092790/header.jpg?t=1660265312
Children of Morta,95.70,https://store.steampowered.com/app/330020/Children_of_Morta/?snr=1_7_7_240_150_1,"3 Sep, 2019",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/330020/header.jpg?t=1664182419
Hero Siege,47.59,https://store.steampowered.com/app/269210/Hero_Siege/?snr=1_7_7_240_150_1,"29 Jan, 2014",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/269210/header.jpg?t=1628765735
Risk of Rain 2,319.00,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_240_150_1,"11 Aug, 2020",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/632360/header.jpg?t=1660063598
Vampire Survivors,119.00,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_240_150_1,"20 Oct, 2022",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1794680/header.jpg?t=1666779006
The Binding of Isaac: Rebirth,239.00,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_240_150_1,"4 Nov, 2014",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/250900/header.jpg?t=1617174663
Tribes of Midgard,369.00,https://store.steampowered.com/app/858820/Tribes_of_Midgard/?snr=1_7_7_240_150_1,"27 Jul, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/858820/header.jpg?t=1667599299
Skul: The Hero Slayer,289.00,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/?snr=1_7_7_240_150_1,"20 Jan, 2021",Rogue-lite,https://cdn.akamai.steamstatic.com/steam/apps/1147560/header.jpg?t=1656292935
