game,price,link,release_date,game_type,image
The Sims™ 4,Free To Play,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_240_150_1,"18 Jun, 2020",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1222670/header.jpg?t=1666819875
Coral Island,฿449.00,https://store.steampowered.com/app/1158160/Coral_Island/?snr=1_7_7_240_150_1,"11 Oct, 2022",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1158160/header.jpg?t=1665556402
Stardew Valley,฿315.00,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_240_150_1,"26 Feb, 2016",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/header.jpg?t=1666917466
Planet Zoo,฿975.00,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"5 Nov, 2019",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/703080/header.jpg?t=1667388971
Tom Clancy's Rainbow Six® Siege,฿540.00,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"1 Dec, 2015",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/header.jpg?t=1667245148
Cities: Skylines,฿699.00,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"10 Mar, 2015",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/255710/header.jpg?t=1665052062
DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,"฿1,490.00",https://store.steampowered.com/app/1492730/DORAEMON_STORY_OF_SEASONS_Friends_of_the_Great_Kingdom/?snr=1_7_7_240_150_1,"1 Nov, 2022",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1492730/header.jpg?t=1667340398
Totally Accurate Battle Simulator,฿98.26,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"1 Apr, 2021",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/508440/header.jpg?t=1664217221
Slime Rancher 2,฿379.00,https://store.steampowered.com/app/1657630/Slime_Rancher_2/?snr=1_7_7_240_150_1,"22 Sep, 2022",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1657630/header.jpg?t=1663866007
Hearts of Iron IV,฿949.00,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"6 Jun, 2016",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/header.jpg?t=1666795765
Disney Dreamlight Valley,฿379.00,https://store.steampowered.com/app/1401590/Disney_Dreamlight_Valley/?snr=1_7_7_240_150_1,"6 Sep, 2022",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1401590/header.jpg?t=1666816731
Unpacking,฿202.30,https://store.steampowered.com/app/1135690/Unpacking/?snr=1_7_7_240_150_1,"1 Nov, 2021",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1135690/header.jpg?t=1667442474
American Truck Simulator,฿599.00,https://store.steampowered.com/app/270880/American_Truck_Simulator/?snr=1_7_7_240_150_1,"2 Feb, 2016",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/270880/header.jpg?t=1666695319
Atelier Ryza 2: Lost Legends & the Secret Fairy,"฿1,015.50",https://store.steampowered.com/app/1257290/Atelier_Ryza_2_Lost_Legends__the_Secret_Fairy/?snr=1_7_7_240_150_1,"25 Jan, 2021",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1257290/header.jpg?t=1664328084
Human: Fall Flat,฿315.00,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_240_150_1,"22 Jul, 2016",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/477160/header.jpg?t=1663918736
Planet Coaster,"฿1,425.00",https://store.steampowered.com/app/493340/Planet_Coaster/?snr=1_7_7_240_150_1,"17 Nov, 2016",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/493340/header.jpg?t=1667404274
Euro Truck Simulator 2,฿599.00,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_240_150_1,"12 Oct, 2012",Simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/227300/header.jpg?t=1666694655
