game,price,link,release_date,game_type
A Short Hike,฿159.00,https://store.steampowered.com/app/1055540/A_Short_Hike/?snr=1_7_7_240_150_1,"30 Jul, 2019",Single Player
Senren＊Banka,฿251.40,https://store.steampowered.com/app/1144400/SenrenBanka/?snr=1_7_7_240_150_1,"14 Feb, 2020",Single Player
Ib,฿219.00,https://store.steampowered.com/app/1901370/Ib/?snr=1_7_7_240_150_1,"11 Apr, 2022",Single Player
Patrick's Parabox,฿289.00,https://store.steampowered.com/app/1260520/Patricks_Parabox/?snr=1_7_7_240_150_1,"29 Mar, 2022",Single Player
CULTIC,฿189.00,https://store.steampowered.com/app/1684930/CULTIC/?snr=1_7_7_240_150_1,"13 Oct, 2022",Single Player
Don't Escape: 4 Days to Survive,฿315.00,https://store.steampowered.com/app/611760/Dont_Escape_4_Days_to_Survive/?snr=1_7_7_240_150_1,"11 Mar, 2019",Single Player
Flowers -Le volume sur ete-,฿289.00,https://store.steampowered.com/app/858940/Flowers_Le_volume_sur_ete/?snr=1_7_7_240_150_1,"26 Jul, 2018",Single Player
A Building Full of Cats,฿45.00,https://store.steampowered.com/app/1969080/A_Building_Full_of_Cats/?snr=1_7_7_240_150_1,"7 Jul, 2022",Single Player
ARMORED HEAD,฿99.00,https://store.steampowered.com/app/805590/ARMORED_HEAD/?snr=1_7_7_240_150_1,"31 Jul, 2020",Single Player
It Steals,฿99.00,https://store.steampowered.com/app/1349060/It_Steals/?snr=1_7_7_240_150_1,"22 Jul, 2020",Single Player
The Case of the Golden Idol,฿269.00,https://store.steampowered.com/app/1677770/The_Case_of_the_Golden_Idol/?snr=1_7_7_240_150_1,"13 Oct, 2022",Single Player
Stardew Valley,฿315.00,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_240_150_1,"26 Feb, 2016",Single Player
Hades,฿319.00,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_240_150_1,"17 Sep, 2020",Single Player
People Playground,฿189.00,https://store.steampowered.com/app/1118200/People_Playground/?snr=1_7_7_240_150_1,"23 Jul, 2019",Single Player
Vampire Survivors,฿95.20,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_240_150_1,"20 Oct, 2022",Single Player
RimWorld,฿377.10,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"17 Oct, 2018",Single Player
Portal,฿189.00,https://store.steampowered.com/app/400/Portal/?snr=1_7_7_240_150_1,"10 Oct, 2007",Single Player
Totally Accurate Battle Simulator,฿289.00,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"1 Apr, 2021",Single Player
Half-Life: Alyx,฿699.00,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_240_150_1,"23 Mar, 2020",Single Player
Katana ZERO,฿239.00,https://store.steampowered.com/app/460950/Katana_ZERO/?snr=1_7_7_240_150_1,"18 Apr, 2019",Single Player
ULTRAKILL,฿319.00,https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_240_150_1,"3 Sep, 2020",Single Player
A Hat in Time,฿559.00,https://store.steampowered.com/app/253230/A_Hat_in_Time/?snr=1_7_7_240_150_1,"5 Oct, 2017",Single Player
The Henry Stickmin Collection,฿239.00,https://store.steampowered.com/app/1089980/The_Henry_Stickmin_Collection/?snr=1_7_7_240_150_1,"7 Aug, 2020",Single Player
OneShot,฿219.00,https://store.steampowered.com/app/420530/OneShot/?snr=1_7_7_240_150_1,Dec 2016,Single Player
Firework,฿189.00,https://store.steampowered.com/app/1288310/Firework/?snr=1_7_7_240_150_1,"3 Feb, 2021",Single Player
Rhythm Doctor,฿249.00,https://store.steampowered.com/app/774181/Rhythm_Doctor/?snr=1_7_7_240_150_1,"26 Feb, 2021",Single Player
Baba Is You,฿239.00,https://store.steampowered.com/app/736260/Baba_Is_You/?snr=1_7_7_240_150_1,"13 Mar, 2019",Single Player
Finding Paradise,฿219.00,https://store.steampowered.com/app/337340/Finding_Paradise/?snr=1_7_7_240_150_1,"14 Dec, 2017",Single Player
One Finger Death Punch,฿99.00,https://store.steampowered.com/app/264200/One_Finger_Death_Punch/?snr=1_7_7_240_150_1,"3 Mar, 2014",Single Player
Grimm's Hollow,Free,https://store.steampowered.com/app/1170880/Grimms_Hollow/?snr=1_7_7_240_150_1,"30 Oct, 2019",Single Player
The Room 4: Old Sins,฿175.00,https://store.steampowered.com/app/1361320/The_Room_4_Old_Sins/?snr=1_7_7_240_150_1,"11 Feb, 2021",Single Player
ATRI -My Dear Moments-,฿303.00,https://store.steampowered.com/app/1230140/ATRI_My_Dear_Moments/?snr=1_7_7_240_150_1,"18 Jun, 2020",Single Player
Tiny Bunny,฿219.00,https://store.steampowered.com/app/1421250/Tiny_Bunny/?snr=1_7_7_240_150_1,"16 Apr, 2021",Single Player
Our Life: Beginnings & Always,Free To Play,https://store.steampowered.com/app/1129190/Our_Life_Beginnings__Always/?snr=1_7_7_240_150_1,"16 Nov, 2020",Single Player
Tales of the Black Forest,฿25.50,https://store.steampowered.com/app/1093910/Tales_of_the_Black_Forest/?snr=1_7_7_240_150_1,"25 Sep, 2019",Single Player
Post Void,฿63.00,https://store.steampowered.com/app/1285670/Post_Void/?snr=1_7_7_240_150_1,"6 Aug, 2020",Single Player
Neon White,฿339.00,https://store.steampowered.com/app/1533420/Neon_White/?snr=1_7_7_240_150_1,"16 Jun, 2022",Single Player
SuchArt: Creative Space,Free To Play,https://store.steampowered.com/app/1469280/SuchArt_Creative_Space/?snr=1_7_7_240_150_1,"21 Jan, 2021",Single Player
CLANNAD,฿765.00,https://store.steampowered.com/app/324160/CLANNAD/?snr=1_7_7_240_150_1,"23 Nov, 2015",Single Player
The Test: Hypothesis Rising,฿45.00,https://store.steampowered.com/app/1282200/The_Test_Hypothesis_Rising/?snr=1_7_7_240_150_1,"27 Apr, 2020",Single Player
The Test: Final Revelation,฿36.00,https://store.steampowered.com/app/1428310/The_Test_Final_Revelation/?snr=1_7_7_240_150_1,"12 Oct, 2020",Single Player
Wobbledogs,฿289.00,https://store.steampowered.com/app/1424330/Wobbledogs/?snr=1_7_7_240_150_1,"15 Mar, 2022",Single Player
Epic Battle Fantasy 5,฿289.00,https://store.steampowered.com/app/432350/Epic_Battle_Fantasy_5/?snr=1_7_7_240_150_1,"30 Nov, 2018",Single Player
Marco & The Galaxy Dragon,฿338.00,https://store.steampowered.com/app/1202540/Marco__The_Galaxy_Dragon/?snr=1_7_7_240_150_1,"28 Feb, 2020",Single Player
100 hidden frogs,Free To Play,https://store.steampowered.com/app/1806840/100_hidden_frogs/?snr=1_7_7_240_150_1,"15 Nov, 2021",Single Player
Monster Prom 2: Monster Camp,฿125.40,https://store.steampowered.com/app/1140270/Monster_Prom_2_Monster_Camp/?snr=1_7_7_240_150_1,"23 Oct, 2020",Single Player
Cube Escape Collection,฿99.00,https://store.steampowered.com/app/1292940/Cube_Escape_Collection/?snr=1_7_7_240_150_1,"14 Oct, 2020",Single Player
Aokana - Four Rhythms Across the Blue,฿419.00,https://store.steampowered.com/app/1044620/Aokana__Four_Rhythms_Across_the_Blue/?snr=1_7_7_240_150_1,"27 Sep, 2019",Single Player
Riddle Joker,฿419.00,https://store.steampowered.com/app/1277930/Riddle_Joker/?snr=1_7_7_240_150_1,"18 Dec, 2020",Single Player
Epic Battle Fantasy 4,฿269.00,https://store.steampowered.com/app/265610/Epic_Battle_Fantasy_4/?snr=1_7_7_240_150_1,"25 Feb, 2014",Single Player
