game,price,link,release_date,game_type,image
Football Manager 2023,"1,167.20",https://store.steampowered.com/app/1904540/Football_Manager_2023/?snr=1_7_7_240_150_1,"7 Nov, 2022",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1904540/header.jpg?t=1666694694
EA SPORTS™ FIFA 23,"1,899.00",https://store.steampowered.com/app/1811260/EA_SPORTS_FIFA_23/?snr=1_7_7_240_150_1,"29 Sep, 2022",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1811260/header.jpg?t=1667386102
NBA 2K23,"1,490.00",https://store.steampowered.com/app/1919590/NBA_2K23/?snr=1_7_7_240_150_1,"8 Sep, 2022",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1919590/header.jpg?t=1666364639
Forza Horizon 5,"1,899.00",https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_240_150_1,"8 Nov, 2021",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/header.jpg?t=1665784964
theHunter: Call of the Wild™,289.00,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"16 Feb, 2017",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/header.jpg?t=1656406952
Forza Horizon 4,699.00,https://store.steampowered.com/app/1293830/Forza_Horizon_4/?snr=1_7_7_240_150_1,"9 Mar, 2021",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1293830/header.jpg?t=1667326422
Assetto Corsa,289.00,https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_7_7_240_150_1,"19 Dec, 2014",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/244210/header.jpg?t=1651677274
eFootball™ 2023,0,https://store.steampowered.com/app/1665460/eFootball_2023/?snr=1_7_7_240_150_1,"29 Sep, 2021",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1665460/header.jpg?t=1666841453
PGA TOUR 2K23,"1,499.00",https://store.steampowered.com/app/1588010/PGA_TOUR_2K23/?snr=1_7_7_240_150_1,"13 Oct, 2022",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1588010/header.jpg?t=1666219227
FIFA 22,"1,599.00",https://store.steampowered.com/app/1506830/FIFA_22/?snr=1_7_7_240_150_1,"30 Sep, 2021",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1506830/header.jpg?t=1653581021
TEKKEN 7,"1,190.00",https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_240_150_1,"1 Jun, 2017",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/389730/header.jpg?t=1666949098
Football Manager 2022,"1,249.00",https://store.steampowered.com/app/1569040/Football_Manager_2022/?snr=1_7_7_240_150_1,"8 Nov, 2021",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1569040/header.jpg?t=1659447256
Need for Speed™ Heat,"1,899.00",https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_7_7_240_150_1,"4 Jun, 2020",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1222680/header.jpg?t=1667318479
DEAD OR ALIVE Xtreme Venus Vacation,0,https://store.steampowered.com/app/958260/DEAD_OR_ALIVE_Xtreme_Venus_Vacation/?snr=1_7_7_240_150_1,"25 Mar, 2019",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/958260/header.jpg?t=1665480611
F1® 22,"1,599.00",https://store.steampowered.com/app/1692250/F1_22/?snr=1_7_7_240_150_1,"30 Jun, 2022",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1692250/header.jpg?t=1666712122
Need for Speed™ Payback,799.00,https://store.steampowered.com/app/1262580/Need_for_Speed_Payback/?snr=1_7_7_240_150_1,"18 Jun, 2020",Sport,https://cdn.cloudflare.steamstatic.com/steam/apps/1262580/header.jpg?t=1667318482
