game,price,link,release_date,game_type,image
Dota 2,Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"9 Jul, 2013",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/570/header.jpg?t=1666237243
Football Manager 2023,"฿1,167.20",https://store.steampowered.com/app/1904540/Football_Manager_2023/?snr=1_7_7_240_150_1,"7 Nov, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/1904540/header.jpg?t=1666694694
PUBG: BATTLEGROUNDS,Free to Play,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"21 Dec, 2017",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1667287680
Counter-Strike: Global Offensive,Free to Play,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"21 Aug, 2012",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1641233427
Dead by Daylight,฿369.00,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"14 Jun, 2016",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1666892376
Black Desert,฿200.00,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"17 Sep, 2019",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/582660/header.jpg?t=1667552581
Victoria 3,"฿1,249.00",https://store.steampowered.com/app/529340/Victoria_3/?snr=1_7_7_240_150_1,"25 Oct, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/529340/header.jpg?t=1666716973
Mount & Blade II: Bannerlord,"฿1,199.20",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_1,"25 Oct, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/261550/header.jpg?t=1666722041
RimWorld,฿419.00,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"17 Oct, 2018",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/294100/header.jpg?t=1666905455
Raft,฿369.00,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,"20 Jun, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/648800/header.jpg?t=1655744208
Tom Clancy's Rainbow Six® Siege,฿540.00,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"1 Dec, 2015",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/header.jpg?t=1667245148
Guild Wars 2,Free To Play,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_240_150_1,"23 Aug, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/1284210/header.jpg?t=1662078090
Planet Zoo,฿975.00,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_240_150_1,"5 Nov, 2019",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/703080/header.jpg?t=1667388971
Cities: Skylines,฿699.00,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_240_150_1,"10 Mar, 2015",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/255710/header.jpg?t=1665052062
EVE Online,Free To Play,https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_240_150_1,"15 Dec, 2010",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/8500/header.jpg?t=1666364647
MARVEL SNAP,Free,https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_240_150_1,"18 Oct, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/1997040/header.jpg?t=1667629115
Don't Starve Together,฿239.00,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header.jpg?t=1666284006
Cult of the Lamb,฿549.00,https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_240_150_1,"11 Aug, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/1313140/header.jpg?t=1667289686
Total War: WARHAMMER III,"฿1,390.00",https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_240_150_1,"16 Feb, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/1142710/header.jpg?t=1663943293
Totally Accurate Battle Simulator,฿98.26,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/?snr=1_7_7_240_150_1,"1 Apr, 2021",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/508440/header.jpg?t=1664217221
Foxhole,฿379.00,https://store.steampowered.com/app/505460/Foxhole/?snr=1_7_7_240_150_1,"28 Sep, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/505460/header.jpg?t=1666633693
FOR HONOR™,฿160.00,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_240_150_1,"13 Feb, 2017",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/304390/header.jpg?t=1666271501
Northgard,฿113.70,https://store.steampowered.com/app/466560/Northgard/?snr=1_7_7_240_150_1,"7 Mar, 2018",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/466560/header.jpg?t=1667216264
Hearts of Iron IV,฿949.00,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV/?snr=1_7_7_240_150_1,"6 Jun, 2016",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/394360/header.jpg?t=1666795765
Conqueror's Blade,Free to Play,https://store.steampowered.com/app/835570/Conquerors_Blade/?snr=1_7_7_240_150_1,"5 Apr, 2020",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/835570/header.jpg?t=1667200063
theHunter: Call of the Wild™,฿289.00,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"16 Feb, 2017",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/header.jpg?t=1656406952
DCS World Steam Edition,Free,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_240_150_1,"2 Aug, 2013",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/223750/header.jpg?t=1667240849
Cosmoteer: Starship Architect & Commander,฿399.00,https://store.steampowered.com/app/799600/Cosmoteer_Starship_Architect__Commander/?snr=1_7_7_240_150_1,"24 Oct, 2022",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/799600/header.jpg?t=1667502685
PAYDAY 2,฿199.00,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_240_150_1,"13 Aug, 2013",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/218620/header.jpg?t=1666767102
Super Robot Wars 30,"฿1,014.00",https://store.steampowered.com/app/898750/Super_Robot_Wars_30/?snr=1_7_7_240_150_1,"27 Oct, 2021",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/898750/header.jpg?t=1665993840
7 Days to Die,฿319.00,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_240_150_1,"13 Dec, 2013",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/251570/header.jpg?t=1650477344
World of Tanks Blitz,Free to Play,https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_240_150_1,"9 Nov, 2016",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/444200/header.jpg?t=1665691892
Squad,฿579.00,https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_240_150_1,"23 Sep, 2020",Strategy,https://cdn.cloudflare.steamstatic.com/steam/apps/393380/header.jpg?t=1667413379
