game,price,link,release_date,game_type,image
PUBG: BATTLEGROUNDS,0,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"21 Dec, 2017",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1667814365
Apex Legends™,0,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_240_150_1,"4 Nov, 2020",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/header.jpg?t=1667588841
NARAKA: BLADEPOINT,499.00,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_240_150_1,"11 Aug, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1203220/header.jpg?t=1667553391
Dead by Daylight,369.00,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"14 Jun, 2016",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1666892376
Warhammer: Vermintide 2,99.80,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_240_150_1,"8 Mar, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/552500/header.jpg?t=1667902946
Dying Light 2 Stay Human,1044.45,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_240_150_1,"3 Feb, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/534380/header.jpg?t=1668102790
Raft,369.00,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,"20 Jun, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/648800/header.jpg?t=1655744208
Resident Evil Village,1289.00,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_1,"7 May, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1196590/header.jpg?t=1666936638
Deep Rock Galactic,125.07,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_240_150_1,"13 May, 2020",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/header.jpg?t=1667841082
Terraria,219.00,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_240_150_1,"16 May, 2011",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/105600/header.jpg?t=1666290860
Rust,699.00,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_240_150_1,"8 Feb, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/header.jpg?t=1666865208
ARK: Survival Evolved,289.00,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_240_150_1,"27 Aug, 2017",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/346110/header.jpg?t=1667429152
Project Zomboid,289.00,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_240_150_1,"8 Nov, 2013",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/header.jpg?t=1667832656
Conqueror's Blade,0,https://store.steampowered.com/app/835570/Conquerors_Blade/?snr=1_7_7_240_150_1,"5 Apr, 2020",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/835570/header.jpg?t=1667200063
RimWorld,419.00,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_240_150_1,"17 Oct, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/294100/header.jpg?t=1666905455
SCUM,502.00,https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_240_150_1,"29 Aug, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/513710/header.jpg?t=1665476959
Grounded,1249.00,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"27 Sep, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/962130/header.jpg?t=1664324694
The Forest,289.00,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_240_150_1,"30 Apr, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027
Green Hell,319.00,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_240_150_1,"5 Sep, 2019",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/815370/header.jpg?t=1659627205
Far Cry® 5,320.00,https://store.steampowered.com/app/552520/Far_Cry_5/?snr=1_7_7_240_150_1,"26 Mar, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/552520/header.jpg?t=1667245148
Core Keeper,175.20,https://store.steampowered.com/app/1621690/Core_Keeper/?snr=1_7_7_240_150_1,"8 Mar, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1621690/header.jpg?t=1668076290
theHunter: Call of the Wild™,289.00,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"16 Feb, 2017",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/header.jpg?t=1668093515
Don't Starve Together,239.00,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header.jpg?t=1666284006
Left 4 Dead 2,220.00,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_240_150_1,"16 Nov, 2009",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/550/header.jpg?t=1666824129
Valheim,289.00,https://store.steampowered.com/app/892970/Valheim/?snr=1_7_7_240_150_1,"2 Feb, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/892970/header.jpg?t=1664981898
Farthest Frontier,379.00,https://store.steampowered.com/app/1044720/Farthest_Frontier/?snr=1_7_7_240_150_1,"9 Aug, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1044720/header.jpg?t=1660235278
Against the Storm,339.15,https://store.steampowered.com/app/1336490/Against_the_Storm/?snr=1_7_7_240_150_1,"1 Nov, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1336490/header.jpg?t=1668123632
SUPER PEOPLE,0,https://store.steampowered.com/app/1190340/SUPER_PEOPLE/?snr=1_7_7_240_150_1,"8 Oct, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1190340/header.jpg?t=1667890909
V Rising,289.00,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_240_150_1,"17 May, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/header.jpg?t=1666870061
ASTRONEER,224.50,https://store.steampowered.com/app/361420/ASTRONEER/?snr=1_7_7_240_150_1,"5 Feb, 2019",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/361420/header.jpg?t=1656698434
Risk of Rain 2,159.50,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_240_150_1,"11 Aug, 2020",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/632360/header.jpg?t=1660063598
7 Days to Die,319.00,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_240_150_1,"13 Dec, 2013",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/251570/header.jpg?t=1650477344
Space Engineers,144.50,https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_240_150_1,"28 Feb, 2019",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/244850/header.jpg?t=1651568388
Factorio,400.00,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_240_150_1,"14 Aug, 2020",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/427520/header.jpg?t=1664264081
Generation Zero®,465.00,https://store.steampowered.com/app/704270/Generation_Zero/?snr=1_7_7_240_150_1,"26 Mar, 2019",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/704270/header.jpg?t=1667900610
HUMANKIND™,1249.00,https://store.steampowered.com/app/1124300/HUMANKIND/?snr=1_7_7_240_150_1,"17 Aug, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1124300/header.jpg?t=1665504817
DayZ,1299.00,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,"13 Dec, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/221100/header.jpg?t=1667310902
Home Sweet Home : Survive,139.00,https://store.steampowered.com/app/1056600/Home_Sweet_Home__Survive/?snr=1_7_7_240_150_1,"25 Mar, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1056600/header.jpg?t=1656393111
DEVOUR,99.00,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_240_150_1,"28 Jan, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1274570/header.jpg?t=1667274838
Subnautica,379.00,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_240_150_1,"23 Jan, 2018",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/264710/header.jpg?t=1664411699
Resident Evil 4,1929.00,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_240_150_1,2023/3/24,Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/2050650/header.jpg?t=1666665420
Jurassic World Evolution 2,1199.00,https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_240_150_1,"9 Nov, 2021",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1244460/header.jpg?t=1663236467
The Wandering Village,319.00,https://store.steampowered.com/app/1121640/The_Wandering_Village/?snr=1_7_7_240_150_1,"14 Sep, 2022",Survival,https://cdn.cloudflare.steamstatic.com/steam/apps/1121640/header.jpg?t=1663541717
