game,price,link,release_date,game_type,image
Dota 2,Free to Play,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_240_150_1,"9 Jul, 2013",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_sm_120.jpg?t=1666237243
7 Days to Die,฿95.70,https://store.steampowered.com/app/251570/7_Days_to_Die/?snr=1_7_7_240_150_1,"13 Dec, 2013",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/251570/capsule_sm_120.jpg?t=1650477344
Bloons TD 6,฿45.80,https://store.steampowered.com/app/960090/Bloons_TD_6/?snr=1_7_7_240_150_1,"17 Dec, 2018",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/960090/capsule_sm_120.jpg?t=1665955258
Tribes of Midgard,฿184.50,https://store.steampowered.com/app/858820/Tribes_of_Midgard/?snr=1_7_7_240_150_1,"27 Jul, 2021",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/858820/capsule_sm_120.jpg?t=1666907197
Dome Keeper,฿399.00,https://store.steampowered.com/app/1637320/Dome_Keeper/?snr=1_7_7_240_150_1,"27 Sep, 2022",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1637320/capsule_sm_120.jpg?t=1666340994
Night of the Dead,฿213.73,https://store.steampowered.com/app/1377380/Night_of_the_Dead/?snr=1_7_7_240_150_1,"27 Aug, 2020",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1377380/capsule_sm_120.jpg?t=1647311733
Plants vs. Zombies GOTY Edition,฿42.50,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition/?snr=1_7_7_240_150_1,"5 May, 2009",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/3590/capsule_sm_120.jpg?t=1615390608
Kingdom Two Crowns,฿101.15,https://store.steampowered.com/app/701160/Kingdom_Two_Crowns/?snr=1_7_7_240_150_1,"11 Dec, 2018",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/701160/capsule_sm_120.jpg?t=1658922080
Age of Darkness: Final Stand,฿344.25,https://store.steampowered.com/app/1426450/Age_of_Darkness_Final_Stand/?snr=1_7_7_240_150_1,"7 Oct, 2021",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1426450/capsule_sm_120.jpg?t=1665713327
Orcs Must Die! 3,฿379.00,https://store.steampowered.com/app/1522820/Orcs_Must_Die_3/?snr=1_7_7_240_150_1,"23 Jul, 2021",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1522820/capsule_sm_120.jpg?t=1649351957
Kingdom Rush Vengeance - Tower Defense,฿202.30,https://store.steampowered.com/app/1367550/Kingdom_Rush_Vengeance__Tower_Defense/?snr=1_7_7_240_150_1,"15 Oct, 2020",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1367550/capsule_sm_120.jpg?t=1665089924
Legion TD 2 - Multiplayer Tower Defense,฿299.25,https://store.steampowered.com/app/469600/Legion_TD_2__Multiplayer_Tower_Defense/?snr=1_7_7_240_150_1,"1 Oct, 2021",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/469600/capsule_sm_120.jpg?t=1665507074
Diplomacy is Not an Option,฿255.20,https://store.steampowered.com/app/1272320/Diplomacy_is_Not_an_Option/?snr=1_7_7_240_150_1,"9 Feb, 2022",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1272320/capsule_sm_120.jpg?t=1661883273
Dungeon Defenders II,Free to Play,https://store.steampowered.com/app/236110/Dungeon_Defenders_II/?snr=1_7_7_240_150_1,"20 Jun, 2017",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/236110/capsule_sm_120.jpg?t=1617393681
Stronghold HD,฿149.00,https://store.steampowered.com/app/40950/Stronghold_HD/?snr=1_7_7_240_150_1,"21 Oct, 2013",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/40950/capsule_sm_120.jpg?t=1665682908
Kingdom Rush Origins - Tower Defense,฿155.35,https://store.steampowered.com/app/816340/Kingdom_Rush_Origins__Tower_Defense/?snr=1_7_7_240_150_1,"17 Oct, 2018",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/816340/capsule_sm_120.jpg?t=1665148225
They Are Billions,฿379.00,https://store.steampowered.com/app/644930/They_Are_Billions/?snr=1_7_7_240_150_1,"18 Jun, 2019",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/644930/capsule_sm_120.jpg?t=1595631876
Yokai Art: Night Parade of One Hundred Demons,฿99.00,https://store.steampowered.com/app/1812060/Yokai_Art_Night_Parade_of_One_Hundred_Demons/?snr=1_7_7_240_150_1,"28 Sep, 2022",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1812060/capsule_sm_120.jpg?t=1666593985
The Riftbreaker,฿399.00,https://store.steampowered.com/app/780310/The_Riftbreaker/?snr=1_7_7_240_150_1,"14 Oct, 2021",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/780310/capsule_sm_120.jpg?t=1662731240
HYPERCHARGE: Unboxed,฿289.00,https://store.steampowered.com/app/523660/HYPERCHARGE_Unboxed/?snr=1_7_7_240_150_1,"27 Apr, 2020",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/523660/capsule_sm_120.jpg?t=1666654835
Kingdom Rush  - Tower Defense,฿142.35,https://store.steampowered.com/app/246420/Kingdom_Rush___Tower_Defense/?snr=1_7_7_240_150_1,"6 Jan, 2014",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/246420/capsule_sm_120.jpg?t=1665150244
Kingdom Rush Frontiers - Tower Defense,฿142.35,https://store.steampowered.com/app/458710/Kingdom_Rush_Frontiers__Tower_Defense/?snr=1_7_7_240_150_1,"25 Jul, 2016",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/458710/capsule_sm_120.jpg?t=1665149675
Plants vs. Zombies: Battle for Neighborville™,฿384.65,https://store.steampowered.com/app/1262240/Plants_vs_Zombies_Battle_for_Neighborville/?snr=1_7_7_240_150_1,"4 Jun, 2020",Tower Defense,https://cdn.cloudflare.steamstatic.com/steam/apps/1262240/capsule_sm_120.jpg?t=1614957327
