game,price,link,release_date,game_type,image
Atelier Ryza 2: Lost Legends & the Secret Fairy,1015.50,https://store.steampowered.com/app/1257290/Atelier_Ryza_2_Lost_Legends__the_Secret_Fairy/?snr=1_7_7_240_150_1,"25 Jan, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1257290/header.jpg?t=1664328084
Atelier Ryza: Ever Darkness & the Secret Hideout,966.50,https://store.steampowered.com/app/1121560/Atelier_Ryza_Ever_Darkness__the_Secret_Hideout/?snr=1_7_7_240_150_1,"28 Oct, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1121560/header.jpg?t=1663128038
Total War: WARHAMMER II,1390.00,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"28 Sep, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/594570/header.jpg?t=1663773284
Sid Meier’s Civilization® VI,1600.00,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"20 Oct, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1663263035
South Park™: The Fractured But Whole™,400.00,https://store.steampowered.com/app/488790/South_Park_The_Fractured_But_Whole/?snr=1_7_7_240_150_1,"16 Oct, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/488790/header.jpg?t=1611670306
Total War: THREE KINGDOMS,1159.00,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"23 May, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/779340/header.jpg?t=1666953015
Yu-Gi-Oh! Duel Links,0,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"16 Nov, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/601510/header.jpg?t=1664354490
South Park™: The Stick of Truth™,200.00,https://store.steampowered.com/app/213670/South_Park_The_Stick_of_Truth/?snr=1_7_7_240_150_1,"5 Mar, 2014",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/213670/header.jpg?t=1611584789
Super Robot Wars 30,1014.00,https://store.steampowered.com/app/898750/Super_Robot_Wars_30/?snr=1_7_7_240_150_1,"27 Oct, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/898750/header.jpg?t=1665993840
Total War™: ROME II - Emperor Edition,1159.00,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_240_150_1,"2 Sep, 2013",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/214950/header.jpg?t=1610468283
