game,price,link,release_date,game_type,image
Darkest Dungeon®,฿68.85,https://store.steampowered.com/app/262060/Darkest_Dungeon/?snr=1_7_7_240_150_1,"19 Jan, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/262060/capsule_sm_120.jpg?t=1655946236
Yu-Gi-Oh! Duel Links,Free to Play,https://store.steampowered.com/app/601510/YuGiOh_Duel_Links/?snr=1_7_7_240_150_1,"16 Nov, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/601510/capsule_sm_120.jpg?t=1664354490
Total War: WARHAMMER II,"฿1,390.00",https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_240_150_1,"28 Sep, 2017",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/594570/capsule_sm_120.jpg?t=1663773284
XCOM® 2,฿149.90,https://store.steampowered.com/app/268500/XCOM_2/?snr=1_7_7_240_150_1,"4 Feb, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/268500/capsule_sm_120.jpg?t=1646157374
Total War: THREE KINGDOMS,"฿1,159.00",https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_240_150_1,"23 May, 2019",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/779340/capsule_sm_120.jpg?t=1666953015
Library Of Ruina,฿170.55,https://store.steampowered.com/app/1256670/Library_Of_Ruina/?snr=1_7_7_240_150_1,"10 Aug, 2021",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1256670/capsule_sm_120.jpg?t=1631308649
OMORI,฿216.75,https://store.steampowered.com/app/1150690/OMORI/?snr=1_7_7_240_150_1,"25 Dec, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1150690/capsule_sm_120.jpg?t=1655277094
Sid Meier’s Civilization® VI,"฿1,600.00",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_240_150_1,"20 Oct, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/capsule_sm_120.jpg?t=1663263035
Yakuza: Like a Dragon,"฿1,690.00",https://store.steampowered.com/app/1235140/Yakuza_Like_a_Dragon/?snr=1_7_7_240_150_1,"10 Nov, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/1235140/capsule_sm_120.jpg?t=1661250400
Shadowverse CCG,Free To Play,https://store.steampowered.com/app/453480/Shadowverse_CCG/?snr=1_7_7_240_150_1,"27 Oct, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/453480/capsule_sm_120.jpg?t=1664247000
Total War: WARHAMMER,"฿1,390.00",https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_240_150_1,"24 May, 2016",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/364360/capsule_sm_120.jpg?t=1663773182
ROMANCE OF THE THREE KINGDOMS XIV,"฿1,848.00",https://store.steampowered.com/app/872410/ROMANCE_OF_THE_THREE_KINGDOMS_XIV/?snr=1_7_7_240_150_1,"15 Jan, 2020",Turn Based,https://cdn.cloudflare.steamstatic.com/steam/apps/872410/capsule_sm_120.jpg?t=1661763393
