game,price,link,release_date,game_type,image
Call of Duty®: Modern Warfare® II,2322.0,https://store.steampowered.com/app/1938090/Call_of_Duty_Modern_Warfare_II/?snr=1_7_7_240_150_1,"27 Oct, 2022",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/header.jpg?t=1667588787
Apex Legends™,0.0,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_240_150_1,"4 Nov, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/header.jpg?t=1667588841
Battlefield™ 1,1099.0,https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_7_7_240_150_1,"11 Jun, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1238840/header.jpg?t=1664070400
Counter-Strike: Global Offensive,0.0,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_240_150_1,"21 Aug, 2012",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/730/header.jpg?t=1641233427
PUBG: BATTLEGROUNDS,0.0,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_240_150_1,"21 Dec, 2017",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/header.jpg?t=1667814365
Dying Light,170.7,https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_240_150_1,"21 Apr, 2016",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/239140/header.jpg?t=1666707597
Warhammer: Vermintide 2,99.8,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_240_150_1,"8 Mar, 2018",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/552500/header.jpg?t=1667880089
Tom Clancy's Rainbow Six® Siege,540.0,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_240_150_1,"1 Dec, 2015",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/header.jpg?t=1667245148
Deep Rock Galactic,125.07,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_240_150_1,"13 May, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/header.jpg?t=1667841082
Cyberpunk 2077,1799.0,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_240_150_1,"9 Dec, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header.jpg?t=1663663573
Resident Evil Village,1289.0,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_1,"7 May, 2021",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1196590/header.jpg?t=1666936638
Red Dead Redemption 2,1599.0,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_240_150_1,"5 Dec, 2019",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/header.jpg?t=1656615305
Ready or Not,469.0,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_240_150_1,"17 Dec, 2021",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1144200/header.jpg?t=1667401209
Tiny Tina's Wonderlands,894.0,https://store.steampowered.com/app/1286680/Tiny_Tinas_Wonderlands/?snr=1_7_7_240_150_1,"23 Jun, 2022",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1286680/header.jpg?t=1660273090
Team Fortress 2,0.0,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_240_150_1,"10 Oct, 2007",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/440/header.jpg?t=1665425286
STAR WARS™ Battlefront™ II,1099.0,https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_240_150_1,"11 Jun, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1237950/header.jpg?t=1651767512
Sea of Thieves,469.0,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_240_150_1,"3 Jun, 2020",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/header.jpg?t=1667516027
SCUM,502.0,https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_240_150_1,"29 Aug, 2018",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/513710/header.jpg?t=1665476959
Destiny 2,0.0,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_240_150_1,"1 Oct, 2019",FPS,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/header.jpg?t=1661876523
