Rogue-lite_game,price,link,release_date
Hades,฿319.00,https://store.steampowered.com/app/1145360/Hades/?snr=1_7_7_240_150_1,"17 Sep, 2020"
Vampire Survivors,฿119.00,https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_240_150_1,"17 Dec, 2021"
Touhou Kouryudou ~ Unconnected Marketeers.,฿239.00,https://store.steampowered.com/app/1566410/Touhou_Kouryudou__Unconnected_Marketeers/?snr=1_7_7_240_150_1,"3 May, 2021"
Monolith,฿189.00,https://store.steampowered.com/app/603960/Monolith/?snr=1_7_7_240_150_1,"7 Jun, 2017"
Voidigo,฿239.00,https://store.steampowered.com/app/1304680/Voidigo/?snr=1_7_7_240_150_1,"25 Feb, 2021"
The Binding of Isaac: Rebirth,฿239.00,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_240_150_1,"4 Nov, 2014"
Slay the Spire,฿319.00,https://store.steampowered.com/app/646570/Slay_the_Spire/?snr=1_7_7_240_150_1,"23 Jan, 2019"
Inscryption,฿389.00,https://store.steampowered.com/app/1092790/Inscryption/?snr=1_7_7_240_150_1,"19 Oct, 2021"
The Test,฿45.00,https://store.steampowered.com/app/1241510/The_Test/?snr=1_7_7_240_150_1,"24 Feb, 2020"
Nuclear Throne,฿209.00,https://store.steampowered.com/app/242680/Nuclear_Throne/?snr=1_7_7_240_150_1,"5 Dec, 2015"
COMPOUND,฿369.00,https://store.steampowered.com/app/615120/COMPOUND/?snr=1_7_7_240_150_1,"19 Jul, 2022"
Boneraiser Minions,฿99.00,https://store.steampowered.com/app/1944570/Boneraiser_Minions/?snr=1_7_7_240_150_1,"5 Aug, 2022"
Tiny Rogues,฿119.00,https://store.steampowered.com/app/2088570/Tiny_Rogues/?snr=1_7_7_240_150_1,"23 Sep, 2022"
Ancient Dungeon,฿289.00,https://store.steampowered.com/app/1125240/Ancient_Dungeon/?snr=1_7_7_240_150_1,"3 Nov, 2021"
Don't Starve Together,฿239.00,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016"
Risk of Rain 2,฿319.00,https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_240_150_1,"11 Aug, 2020"
Dead Cells,฿389.00,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_240_150_1,"6 Aug, 2018"
Enter the Gungeon,฿315.00,https://store.steampowered.com/app/311690/Enter_the_Gungeon/?snr=1_7_7_240_150_1,"5 Apr, 2016"
Crypt of the NecroDancer,฿315.00,https://store.steampowered.com/app/247080/Crypt_of_the_NecroDancer/?snr=1_7_7_240_150_1,"23 Apr, 2015"
Monster Train,฿319.00,https://store.steampowered.com/app/1102190/Monster_Train/?snr=1_7_7_240_150_1,"21 May, 2020"
