game,price,link,release_date,game_type,image
Dead by Daylight,369.0,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_240_150_1,"14 Jun, 2016",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/381210/header.jpg?t=1666892376
Resident Evil Village,1289.0,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_1,"7 May, 2021",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1196590/header.jpg?t=1666936638
Dying Light 2 Stay Human,1044.45,https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_240_150_1,"3 Feb, 2022",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/534380/header.jpg?t=1668102790
Deep Rock Galactic,125.07,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_240_150_1,"13 May, 2020",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/548430/header.jpg?t=1667841082
Phasmophobia,229.0,https://store.steampowered.com/app/739630/Phasmophobia/?snr=1_7_7_240_150_1,"18 Sep, 2020",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/739630/header.jpg?t=1667574170
Ready or Not,469.0,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_240_150_1,"17 Dec, 2021",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1144200/header.jpg?t=1667401209
Hunt: Showdown,719.0,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_240_150_1,"27 Aug, 2019",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/594650/header.jpg?t=1668088806
The Forest,289.0,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_240_150_1,"30 Apr, 2018",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027
Grounded,1249.0,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"27 Sep, 2022",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/962130/header.jpg?t=1664324694
Path of Exile,0.0,https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_240_150_1,"23 Oct, 2013",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/238960/header.jpg?t=1661471494
Left 4 Dead 2,220.0,https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_240_150_1,"16 Nov, 2009",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/550/header.jpg?t=1666824129
Don't Starve Together,239.0,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header.jpg?t=1666284006
"Warhammer 40,000: Darktide",1049.0,https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_240_150_1,"30 Nov, 2022",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1361210/header.jpg?t=1667880413
DEVOUR,99.0,https://store.steampowered.com/app/1274570/DEVOUR/?snr=1_7_7_240_150_1,"28 Jan, 2021",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1274570/header.jpg?t=1667274838
Home Sweet Home : Survive,139.0,https://store.steampowered.com/app/1056600/Home_Sweet_Home__Survive/?snr=1_7_7_240_150_1,"25 Mar, 2021",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1056600/header.jpg?t=1656393111
Generation Zero®,465.0,https://store.steampowered.com/app/704270/Generation_Zero/?snr=1_7_7_240_150_1,"26 Mar, 2019",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/704270/header.jpg?t=1667900610
Resident Evil 4,1929.0,https://store.steampowered.com/app/2050650/Resident_Evil_4/?snr=1_7_7_240_150_1,2023/3/24,Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/2050650/header.jpg?t=1666665420
Subnautica,379.0,https://store.steampowered.com/app/264710/Subnautica/?snr=1_7_7_240_150_1,"23 Jan, 2018",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/264710/header.jpg?t=1664411699
DayZ,1299.0,https://store.steampowered.com/app/221100/DayZ/?snr=1_7_7_240_150_1,"13 Dec, 2018",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/221100/header.jpg?t=1667310902
Ghost Watchers,239.0,https://store.steampowered.com/app/1850740/Ghost_Watchers/?snr=1_7_7_240_150_1,"28 Jul, 2022",Horror,https://cdn.cloudflare.steamstatic.com/steam/apps/1850740/header.jpg?t=1666735635
